date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,13,3,0.0,8.7,3,1,97,04:57 PM,06:06 AM,07:20 AM,05:31 PM,-10,5,6,5,12,0,31,0.0,1019,4,10,67,7
2018-01-01 06:00:00,13,3,0.0,8.7,3,2,97,04:57 PM,06:06 AM,07:20 AM,05:31 PM,-11,6,7,6,11,0,27,0.0,1019,5,10,71,7
2018-01-01 12:00:00,13,3,0.0,8.7,3,4,97,04:57 PM,06:06 AM,07:20 AM,05:31 PM,-6,13,13,13,8,6,26,0.0,1015,12,10,256,7
2018-01-01 18:00:00,13,3,0.0,8.7,3,2,97,04:57 PM,06:06 AM,07:20 AM,05:31 PM,-5,4,5,4,14,4,48,0.0,1019,4,10,58,7
2018-01-02 00:00:00,13,3,0.0,8.7,3,1,100,06:01 PM,07:12 AM,07:20 AM,05:32 PM,-12,2,4,2,16,5,31,0.0,1020,3,10,67,8
2018-01-02 06:00:00,13,3,0.0,8.7,3,2,100,06:01 PM,07:12 AM,07:20 AM,05:32 PM,-13,5,7,5,13,0,24,0.0,1020,5,10,66,8
2018-01-02 12:00:00,13,3,0.0,8.7,3,4,100,06:01 PM,07:12 AM,07:20 AM,05:32 PM,-6,13,14,13,10,0,24,0.0,1016,12,10,260,8
2018-01-02 18:00:00,13,3,0.0,8.7,3,2,100,06:01 PM,07:12 AM,07:20 AM,05:32 PM,-7,3,5,3,13,9,44,0.0,1021,4,10,67,6
2018-01-03 00:00:00,13,3,0.0,8.7,3,1,89,07:08 PM,08:13 AM,07:20 AM,05:32 PM,-11,2,4,2,14,7,33,0.0,1020,3,10,66,6
2018-01-03 06:00:00,13,3,0.0,8.7,3,3,89,07:08 PM,08:13 AM,07:20 AM,05:32 PM,-8,7,8,7,8,0,30,0.0,1018,5,10,68,5
2018-01-03 12:00:00,13,3,0.0,8.7,3,4,89,07:08 PM,08:13 AM,07:20 AM,05:32 PM,-7,13,14,13,10,2,23,0.0,1015,13,10,283,9
2018-01-03 18:00:00,13,3,0.0,8.7,3,2,89,07:08 PM,08:13 AM,07:20 AM,05:32 PM,-7,5,6,5,12,0,38,0.0,1020,4,10,61,6
2018-01-04 00:00:00,13,3,0.0,8.7,3,1,81,08:15 PM,09:08 AM,07:20 AM,05:33 PM,-12,5,6,5,13,0,25,0.0,1020,3,10,67,6
2018-01-04 06:00:00,13,3,0.0,8.7,3,3,81,08:15 PM,09:08 AM,07:20 AM,05:33 PM,-11,6,7,6,13,0,26,0.0,1020,5,10,74,7
2018-01-04 12:00:00,13,3,0.0,8.7,3,4,81,08:15 PM,09:08 AM,07:20 AM,05:33 PM,-7,14,14,14,9,4,23,0.0,1015,13,10,239,8
2018-01-04 18:00:00,13,3,0.0,8.7,3,3,81,08:15 PM,09:08 AM,07:20 AM,05:33 PM,-7,5,6,5,8,60,40,0.0,1020,5,10,68,4
2018-01-05 00:00:00,12,3,0.0,8.7,3,1,74,09:22 PM,09:56 AM,07:20 AM,05:34 PM,-9,5,6,5,9,23,33,0.0,1020,5,10,59,5
2018-01-05 06:00:00,12,3,0.0,8.7,3,2,74,09:22 PM,09:56 AM,07:20 AM,05:34 PM,-8,6,7,6,8,0,34,0.0,1021,4,10,63,6
2018-01-05 12:00:00,12,3,0.0,8.7,3,4,74,09:22 PM,09:56 AM,07:20 AM,05:34 PM,-7,13,13,13,9,0,24,0.0,1016,12,10,260,8
2018-01-05 18:00:00,12,3,0.0,8.7,3,2,74,09:22 PM,09:56 AM,07:20 AM,05:34 PM,-4,4,6,4,11,0,49,0.0,1022,4,10,54,6
2018-01-06 00:00:00,11,1,0.0,8.7,2,1,67,10:25 PM,10:38 AM,07:21 AM,05:35 PM,-8,4,5,4,11,0,37,0.0,1021,3,10,65,6
2018-01-06 06:00:00,11,1,0.0,8.7,2,2,67,10:25 PM,10:38 AM,07:21 AM,05:35 PM,-10,5,6,5,9,0,30,0.0,1019,4,10,69,6
2018-01-06 12:00:00,11,1,0.0,8.7,2,4,67,10:25 PM,10:38 AM,07:21 AM,05:35 PM,-9,12,13,12,10,0,22,0.0,1014,11,10,280,9
2018-01-06 18:00:00,11,1,0.0,8.7,2,2,67,10:25 PM,10:38 AM,07:21 AM,05:35 PM,-6,4,5,4,10,0,46,0.0,1021,3,10,60,6
2018-01-07 00:00:00,13,1,0.0,8.7,3,1,59,11:26 PM,11:17 AM,07:21 AM,05:35 PM,-13,2,4,2,13,0,28,0.0,1021,1,10,60,7
2018-01-07 06:00:00,13,1,0.0,8.7,3,2,59,11:26 PM,11:17 AM,07:21 AM,05:35 PM,-21,4,6,4,14,0,12,0.0,1020,3,10,45,8
2018-01-07 12:00:00,13,1,0.0,8.7,3,4,59,11:26 PM,11:17 AM,07:21 AM,05:35 PM,-10,13,14,13,12,0,18,0.0,1016,13,10,296,11
2018-01-07 18:00:00,13,1,0.0,8.7,3,2,59,11:26 PM,11:17 AM,07:21 AM,05:35 PM,-11,3,5,3,16,0,31,0.0,1022,4,10,49,8
2018-01-08 00:00:00,15,2,0.0,8.7,3,1,52,No moonrise,11:53 AM,07:21 AM,05:36 PM,-22,3,5,3,17,0,13,0.0,1021,3,10,61,8
2018-01-08 06:00:00,15,2,0.0,8.7,3,2,52,No moonrise,11:53 AM,07:21 AM,05:36 PM,-17,5,6,5,16,0,16,0.0,1021,4,10,60,8
2018-01-08 12:00:00,15,2,0.0,8.7,3,4,52,No moonrise,11:53 AM,07:21 AM,05:36 PM,-8,16,16,16,8,0,18,0.0,1018,14,10,274,7
2018-01-08 18:00:00,15,2,0.0,8.7,3,2,52,No moonrise,11:53 AM,07:21 AM,05:36 PM,-8,5,7,5,15,0,34,0.0,1025,5,10,62,7
2018-01-09 00:00:00,16,4,0.0,8.7,3,1,45,12:23 AM,12:28 PM,07:21 AM,05:37 PM,-18,5,6,5,16,0,16,0.0,1024,4,10,63,8
2018-01-09 06:00:00,16,4,0.0,8.7,3,3,45,12:23 AM,12:28 PM,07:21 AM,05:37 PM,-17,6,7,6,17,0,16,0.0,1024,5,10,60,8
2018-01-09 12:00:00,16,4,0.0,8.7,3,5,45,12:23 AM,12:28 PM,07:21 AM,05:37 PM,-8,18,18,18,10,0,17,0.0,1020,16,10,284,8
2018-01-09 18:00:00,16,4,0.0,8.7,3,3,45,12:23 AM,12:28 PM,07:21 AM,05:37 PM,-8,7,8,7,16,0,30,0.0,1024,6,10,57,8
2018-01-10 00:00:00,18,5,0.0,8.7,3,1,38,01:20 AM,01:02 PM,07:21 AM,05:38 PM,-21,5,7,5,17,0,11,0.0,1024,5,10,58,8
2018-01-10 06:00:00,18,5,0.0,8.7,3,3,38,01:20 AM,01:02 PM,07:21 AM,05:38 PM,-15,7,8,7,17,1,17,0.0,1022,7,10,61,8
2018-01-10 12:00:00,18,5,0.0,8.7,3,5,38,01:20 AM,01:02 PM,07:21 AM,05:38 PM,-7,18,18,18,9,7,18,0.0,1019,17,10,275,8
2018-01-10 18:00:00,18,5,0.0,8.7,3,3,38,01:20 AM,01:02 PM,07:21 AM,05:38 PM,-7,7,8,7,15,15,33,0.0,1022,8,10,56,7
2018-01-11 00:00:00,18,8,0.0,3.8,3,1,30,02:14 AM,01:38 PM,07:21 AM,05:39 PM,-15,7,8,7,16,69,18,0.0,1021,8,10,64,8
2018-01-11 06:00:00,18,8,0.0,3.8,3,3,30,02:14 AM,01:38 PM,07:21 AM,05:39 PM,-12,9,10,9,15,54,21,0.0,1020,9,10,68,7
2018-01-11 12:00:00,18,8,0.0,3.8,3,4,30,02:14 AM,01:38 PM,07:21 AM,05:39 PM,-5,17,17,17,8,98,22,0.0,1017,17,10,280,7
2018-01-11 18:00:00,18,8,0.0,3.8,3,3,30,02:14 AM,01:38 PM,07:21 AM,05:39 PM,-6,11,11,11,11,97,28,0.0,1020,11,10,47,5
2018-01-12 00:00:00,16,6,0.0,3.8,3,1,23,03:08 AM,02:15 PM,07:21 AM,05:40 PM,-10,11,11,11,8,98,22,0.0,1017,10,10,43,4
2018-01-12 06:00:00,16,6,0.0,3.8,3,2,23,03:08 AM,02:15 PM,07:21 AM,05:40 PM,-7,10,10,10,8,99,28,0.0,1017,10,10,69,4
2018-01-12 12:00:00,16,6,0.0,3.8,3,4,23,03:08 AM,02:15 PM,07:21 AM,05:40 PM,-5,16,16,16,8,99,24,0.0,1016,15,10,258,7
2018-01-12 18:00:00,16,6,0.0,3.8,3,3,23,03:08 AM,02:15 PM,07:21 AM,05:40 PM,-5,8,9,8,10,6,36,0.0,1021,8,10,74,5
2018-01-13 00:00:00,15,4,0.0,8.7,3,1,16,04:01 AM,02:54 PM,07:21 AM,05:40 PM,-10,8,9,8,9,0,26,0.0,1020,6,10,68,5
2018-01-13 06:00:00,15,4,0.0,8.7,3,3,16,04:01 AM,02:54 PM,07:21 AM,05:40 PM,-10,8,9,8,12,0,26,0.0,1020,6,10,58,7
2018-01-13 12:00:00,15,4,0.0,8.7,3,5,16,04:01 AM,02:54 PM,07:21 AM,05:40 PM,-5,16,16,16,11,0,22,0.0,1016,15,10,285,9
2018-01-13 18:00:00,15,4,0.0,8.7,3,3,16,04:01 AM,02:54 PM,07:21 AM,05:40 PM,-5,8,9,8,14,0,38,0.0,1020,7,10,56,6
2018-01-14 00:00:00,16,5,0.0,8.7,3,1,9,04:53 AM,03:37 PM,07:21 AM,05:41 PM,-12,7,8,7,14,0,22,0.0,1020,6,10,64,7
2018-01-14 06:00:00,16,5,0.0,8.7,3,3,9,04:53 AM,03:37 PM,07:21 AM,05:41 PM,-13,8,9,8,15,0,19,0.0,1020,7,10,57,7
2018-01-14 12:00:00,16,5,0.0,8.7,3,5,9,04:53 AM,03:37 PM,07:21 AM,05:41 PM,-7,17,17,17,11,0,19,0.0,1017,16,10,285,9
2018-01-14 18:00:00,16,5,0.0,8.7,3,3,9,04:53 AM,03:37 PM,07:21 AM,05:41 PM,-7,8,9,8,16,0,33,0.0,1023,7,10,43,8
2018-01-15 00:00:00,17,5,0.0,8.7,3,1,1,05:44 AM,04:23 PM,07:20 AM,05:42 PM,-16,6,8,6,17,0,17,0.0,1023,5,10,61,8
2018-01-15 06:00:00,17,5,0.0,8.7,3,3,1,05:44 AM,04:23 PM,07:20 AM,05:42 PM,-15,8,9,8,14,0,17,0.0,1021,7,10,57,7
2018-01-15 12:00:00,17,5,0.0,8.7,3,5,1,05:44 AM,04:23 PM,07:20 AM,05:42 PM,-8,18,18,18,11,0,17,0.0,1016,17,10,285,10
2018-01-15 18:00:00,17,5,0.0,8.7,3,3,1,05:44 AM,04:23 PM,07:20 AM,05:42 PM,-7,8,9,8,16,0,30,0.0,1019,7,10,53,8
2018-01-16 00:00:00,19,5,0.0,8.7,3,1,0,06:32 AM,05:12 PM,07:20 AM,05:43 PM,-16,7,8,7,17,0,15,0.0,1018,6,10,51,8
2018-01-16 06:00:00,19,5,0.0,8.7,3,3,0,06:32 AM,05:12 PM,07:20 AM,05:43 PM,-15,7,9,7,18,0,17,0.0,1018,7,10,59,9
2018-01-16 12:00:00,19,5,0.0,8.7,3,5,0,06:32 AM,05:12 PM,07:20 AM,05:43 PM,-6,19,19,19,9,0,17,0.0,1014,18,10,258,8
2018-01-16 18:00:00,19,5,0.0,8.7,3,3,0,06:32 AM,05:12 PM,07:20 AM,05:43 PM,-3,9,9,9,14,0,42,0.0,1019,7,10,81,6
2018-01-17 00:00:00,16,6,0.0,8.7,3,1,0,07:18 AM,06:03 PM,07:20 AM,05:44 PM,-6,8,9,8,12,2,34,0.0,1019,6,10,79,6
2018-01-17 06:00:00,16,6,0.0,8.7,3,3,0,07:18 AM,06:03 PM,07:20 AM,05:44 PM,-11,6,8,6,15,9,26,0.0,1020,7,10,80,7
2018-01-17 12:00:00,16,6,0.0,8.7,3,5,0,07:18 AM,06:03 PM,07:20 AM,05:44 PM,-8,17,17,17,8,11,17,0.0,1017,16,10,237,7
2018-01-17 18:00:00,16,6,0.0,8.7,3,3,0,07:18 AM,06:03 PM,07:20 AM,05:44 PM,-8,7,8,7,15,12,31,0.0,1022,7,10,56,7
2018-01-18 00:00:00,17,6,0.0,8.7,4,1,6,08:01 AM,06:56 PM,07:20 AM,05:45 PM,-15,5,6,5,16,49,19,0.0,1022,6,10,59,8
2018-01-18 06:00:00,17,6,0.0,8.7,4,3,6,08:01 AM,06:56 PM,07:20 AM,05:45 PM,-12,7,8,7,15,13,22,0.0,1020,8,10,61,7
2018-01-18 12:00:00,17,6,0.0,8.7,4,5,6,08:01 AM,06:56 PM,07:20 AM,05:45 PM,-8,18,18,18,10,2,16,0.0,1017,17,10,284,8
2018-01-18 18:00:00,17,6,0.0,8.7,4,3,6,08:01 AM,06:56 PM,07:20 AM,05:45 PM,-6,9,10,9,14,0,32,0.0,1021,8,10,64,7
2018-01-19 00:00:00,18,6,0.0,8.7,4,1,13,08:40 AM,07:50 PM,07:20 AM,05:46 PM,-12,8,9,8,16,0,20,0.0,1021,7,10,68,8
2018-01-19 06:00:00,18,6,0.0,8.7,4,3,13,08:40 AM,07:50 PM,07:20 AM,05:46 PM,-11,9,10,9,17,0,21,0.0,1021,8,10,67,8
2018-01-19 12:00:00,18,6,0.0,8.7,4,5,13,08:40 AM,07:50 PM,07:20 AM,05:46 PM,-5,19,19,19,9,0,18,0.0,1018,18,10,266,8
2018-01-19 18:00:00,18,6,0.0,8.7,4,3,13,08:40 AM,07:50 PM,07:20 AM,05:46 PM,-7,9,10,9,14,0,30,0.0,1023,8,10,59,7
2018-01-20 00:00:00,19,6,0.0,8.7,4,1,20,09:18 AM,08:45 PM,07:19 AM,05:46 PM,-13,8,9,8,16,0,20,0.0,1021,7,10,63,8
2018-01-20 06:00:00,19,6,0.0,8.7,4,3,20,09:18 AM,08:45 PM,07:19 AM,05:46 PM,-12,9,10,9,17,0,21,0.0,1018,8,10,63,8
2018-01-20 12:00:00,19,6,0.0,8.7,4,5,20,09:18 AM,08:45 PM,07:19 AM,05:46 PM,-5,20,20,20,9,0,18,0.0,1015,18,10,269,8
2018-01-20 18:00:00,19,6,0.0,8.7,4,3,20,09:18 AM,08:45 PM,07:19 AM,05:46 PM,-4,10,10,10,11,0,37,0.0,1018,8,10,60,5
2018-01-21 00:00:00,18,7,0.0,8.7,4,1,28,09:54 AM,09:40 PM,07:19 AM,05:47 PM,-11,9,10,9,15,0,21,0.0,1017,7,10,67,7
2018-01-21 06:00:00,18,7,0.0,8.7,4,3,28,09:54 AM,09:40 PM,07:19 AM,05:47 PM,-13,9,10,9,15,0,19,0.0,1017,8,10,77,7
2018-01-21 12:00:00,18,7,0.0,8.7,4,5,28,09:54 AM,09:40 PM,07:19 AM,05:47 PM,-4,19,19,19,9,0,20,0.0,1015,18,10,260,8
2018-01-21 18:00:00,18,7,0.0,8.7,4,3,28,09:54 AM,09:40 PM,07:19 AM,05:47 PM,-1,10,10,10,12,0,44,0.0,1019,8,10,79,6
2018-01-22 00:00:00,17,5,0.0,8.7,3,1,35,10:28 AM,10:36 PM,07:19 AM,05:48 PM,-7,9,10,9,12,0,30,0.0,1018,7,10,73,6
2018-01-22 06:00:00,17,5,0.0,8.7,3,3,35,10:28 AM,10:36 PM,07:19 AM,05:48 PM,-9,10,10,10,11,0,25,0.0,1017,8,10,83,6
2018-01-22 12:00:00,17,5,0.0,8.7,3,5,35,10:28 AM,10:36 PM,07:19 AM,05:48 PM,-1,18,18,18,9,0,27,0.0,1013,16,10,234,8
2018-01-22 18:00:00,17,5,0.0,8.7,3,3,35,10:28 AM,10:36 PM,07:19 AM,05:48 PM,1,9,10,9,13,0,53,0.0,1017,8,10,101,7
2018-01-23 00:00:00,12,3,0.0,7.1,3,1,42,11:03 AM,11:34 PM,07:18 AM,05:49 PM,-2,8,9,8,10,0,46,0.0,1017,6,10,102,6
2018-01-23 06:00:00,12,3,0.0,7.1,3,3,42,11:03 AM,11:34 PM,07:18 AM,05:49 PM,-8,8,9,8,13,0,30,0.0,1016,7,10,79,8
2018-01-23 12:00:00,12,3,0.0,7.1,3,2,42,11:03 AM,11:34 PM,07:18 AM,05:49 PM,2,9,10,9,7,24,60,0.2,1011,9,9,249,6
2018-01-23 18:00:00,12,3,0.0,7.1,3,1,42,11:03 AM,11:34 PM,07:18 AM,05:49 PM,3,4,5,4,9,100,90,8.0,1013,5,6,61,5
2018-01-24 00:00:00,12,3,0.0,8.7,3,1,49,11:38 AM,No moonset,07:18 AM,05:50 PM,2,4,4,4,5,48,88,0.0,1015,3,10,53,3
2018-01-24 06:00:00,12,3,0.0,8.7,3,2,49,11:38 AM,No moonset,07:18 AM,05:50 PM,2,5,5,5,6,16,79,0.0,1017,5,10,70,4
2018-01-24 12:00:00,12,3,0.0,8.7,3,4,49,11:38 AM,No moonset,07:18 AM,05:50 PM,2,12,12,12,11,7,51,0.0,1014,12,10,275,9
2018-01-24 18:00:00,12,3,0.0,8.7,3,3,49,11:38 AM,No moonset,07:18 AM,05:50 PM,4,5,6,5,8,8,88,0.0,1019,5,10,35,4
2018-01-25 00:00:00,13,3,0.0,8.7,3,1,57,12:16 PM,12:33 AM,07:17 AM,05:51 PM,-1,6,7,6,10,0,59,0.0,1017,4,10,53,6
2018-01-25 06:00:00,13,3,0.0,8.7,3,3,57,12:16 PM,12:33 AM,07:17 AM,05:51 PM,-10,6,8,6,11,0,27,0.0,1016,5,10,58,6
2018-01-25 12:00:00,13,3,0.0,8.7,3,4,57,12:16 PM,12:33 AM,07:17 AM,05:51 PM,-5,14,14,14,10,0,27,0.0,1012,13,10,265,9
2018-01-25 18:00:00,13,3,0.0,8.7,3,2,57,12:16 PM,12:33 AM,07:17 AM,05:51 PM,-2,6,7,6,8,0,55,0.0,1019,4,10,48,5
2018-01-26 00:00:00,12,2,0.0,8.7,3,1,64,12:58 PM,01:35 AM,07:17 AM,05:52 PM,-4,4,6,4,10,0,48,0.0,1020,3,10,68,6
2018-01-26 06:00:00,12,2,0.0,8.7,3,2,64,12:58 PM,01:35 AM,07:17 AM,05:52 PM,-6,6,7,6,7,0,39,0.0,1019,4,10,74,6
2018-01-26 12:00:00,12,2,0.0,8.7,3,4,64,12:58 PM,01:35 AM,07:17 AM,05:52 PM,-5,13,14,13,10,0,28,0.0,1015,12,10,270,8
2018-01-26 18:00:00,12,2,0.0,8.7,3,2,64,12:58 PM,01:35 AM,07:17 AM,05:52 PM,-4,5,6,5,9,0,47,0.0,1021,4,10,60,5
2018-01-27 00:00:00,13,2,0.0,8.7,3,1,71,01:45 PM,02:39 AM,07:16 AM,05:53 PM,-9,3,5,3,13,0,35,0.0,1021,2,10,62,7
2018-01-27 06:00:00,13,2,0.0,8.7,3,2,71,01:45 PM,02:39 AM,07:16 AM,05:53 PM,-16,5,7,5,11,0,18,0.0,1019,4,10,56,7
2018-01-27 12:00:00,13,2,0.0,8.7,3,4,71,01:45 PM,02:39 AM,07:16 AM,05:53 PM,-11,12,13,12,15,0,18,0.0,1015,13,10,304,13
2018-01-27 18:00:00,13,2,0.0,8.7,3,2,71,01:45 PM,02:39 AM,07:16 AM,05:53 PM,-9,4,6,4,17,2,34,0.0,1022,4,10,49,8
2018-01-28 00:00:00,15,3,0.0,8.7,3,1,78,02:38 PM,03:45 AM,07:16 AM,05:54 PM,-17,3,5,3,16,0,18,0.0,1021,3,10,62,8
2018-01-28 06:00:00,15,3,0.0,8.7,3,3,78,02:38 PM,03:45 AM,07:16 AM,05:54 PM,-12,6,7,6,15,0,23,0.0,1020,5,10,53,8
2018-01-28 12:00:00,15,3,0.0,8.7,3,5,78,02:38 PM,03:45 AM,07:16 AM,05:54 PM,-7,16,16,16,11,0,19,0.0,1017,15,10,291,10
2018-01-28 18:00:00,15,3,0.0,8.7,3,3,78,02:38 PM,03:45 AM,07:16 AM,05:54 PM,-7,6,8,6,16,0,35,0.0,1023,6,10,45,8
2018-01-29 00:00:00,16,5,0.0,8.7,3,1,86,03:38 PM,04:50 AM,07:15 AM,05:54 PM,-15,6,7,6,17,0,18,0.0,1023,5,10,56,8
2018-01-29 06:00:00,16,5,0.0,8.7,3,3,86,03:38 PM,04:50 AM,07:15 AM,05:54 PM,-12,7,8,7,15,9,24,0.0,1022,7,10,56,7
2018-01-29 12:00:00,16,5,0.0,8.7,3,5,86,03:38 PM,04:50 AM,07:15 AM,05:54 PM,-7,17,17,17,12,1,19,0.0,1018,16,10,294,11
2018-01-29 18:00:00,16,5,0.0,8.7,3,3,86,03:38 PM,04:50 AM,07:15 AM,05:54 PM,-6,8,9,8,15,2,34,0.0,1024,7,10,42,7
2018-01-30 00:00:00,19,7,0.0,8.7,4,1,93,04:42 PM,05:52 AM,07:15 AM,05:55 PM,-15,6,8,6,17,5,18,0.0,1023,7,10,47,8
2018-01-30 06:00:00,19,7,0.0,8.7,4,3,93,04:42 PM,05:52 AM,07:15 AM,05:55 PM,-6,9,11,9,20,2,30,0.0,1022,10,10,45,10
2018-01-30 12:00:00,19,7,0.0,8.7,4,5,93,04:42 PM,05:52 AM,07:15 AM,05:55 PM,-3,19,19,19,21,0,23,0.0,1018,19,10,326,18
2018-01-30 18:00:00,19,7,0.0,8.7,4,3,93,04:42 PM,05:52 AM,07:15 AM,05:55 PM,0,10,11,10,16,0,49,0.0,1021,9,10,29,8
2018-01-31 00:00:00,18,7,0.0,3.9,4,1,97,05:50 PM,06:50 AM,07:14 AM,05:56 PM,-11,7,8,7,15,15,24,0.0,1018,8,10,50,7
2018-01-31 06:00:00,18,7,0.0,3.9,4,3,97,05:50 PM,06:50 AM,07:14 AM,05:56 PM,-12,9,10,9,17,50,20,0.0,1018,10,10,44,8
2018-01-31 12:00:00,18,7,0.0,3.9,4,4,97,05:50 PM,06:50 AM,07:14 AM,05:56 PM,-3,18,18,18,13,99,23,0.0,1015,18,10,299,12
2018-01-31 18:00:00,18,7,0.0,3.9,4,3,97,05:50 PM,06:50 AM,07:14 AM,05:56 PM,-5,10,11,10,14,99,33,0.0,1019,10,10,38,6
2018-02-01 00:00:00,18,7,0.0,8.7,4,1,88,06:58 PM,07:42 AM,07:14 AM,05:57 PM,-11,9,10,9,13,33,21,0.0,1018,9,10,44,6
2018-02-01 06:00:00,18,7,0.0,8.7,4,3,88,06:58 PM,07:42 AM,07:14 AM,05:57 PM,-5,11,11,11,14,1,32,0.0,1021,9,10,53,8
2018-02-01 12:00:00,18,7,0.0,8.7,4,5,88,06:58 PM,07:42 AM,07:14 AM,05:57 PM,-5,19,19,19,12,2,20,0.0,1017,18,10,282,10
2018-02-01 18:00:00,18,7,0.0,8.7,4,3,88,06:58 PM,07:42 AM,07:14 AM,05:57 PM,-1,9,10,9,11,33,47,0.0,1021,9,10,48,5
2018-02-02 00:00:00,17,6,0.0,8.7,4,1,81,08:05 PM,08:28 AM,07:13 AM,05:58 PM,-7,8,9,8,13,0,31,0.0,1019,7,10,70,7
2018-02-02 06:00:00,17,6,0.0,8.7,4,3,81,08:05 PM,08:28 AM,07:13 AM,05:58 PM,-7,10,11,10,11,0,28,0.0,1018,9,10,69,7
2018-02-02 12:00:00,17,6,0.0,8.7,4,5,81,08:05 PM,08:28 AM,07:13 AM,05:58 PM,-3,18,18,18,10,5,25,0.0,1014,17,10,252,8
2018-02-02 18:00:00,17,6,0.0,8.7,4,3,81,08:05 PM,08:28 AM,07:13 AM,05:58 PM,1,9,9,9,8,3,56,0.0,1020,7,10,74,4
2018-02-03 00:00:00,16,5,0.0,8.7,3,1,73,09:09 PM,09:11 AM,07:12 AM,05:59 PM,-4,7,8,7,13,1,41,0.0,1020,6,10,78,7
2018-02-03 06:00:00,16,5,0.0,8.7,3,3,73,09:09 PM,09:11 AM,07:12 AM,05:59 PM,-7,8,9,8,11,0,30,0.0,1021,7,10,73,7
2018-02-03 12:00:00,16,5,0.0,8.7,3,5,73,09:09 PM,09:11 AM,07:12 AM,05:59 PM,-2,17,17,17,10,0,26,0.0,1017,15,10,256,8
2018-02-03 18:00:00,16,5,0.0,8.7,3,3,73,09:09 PM,09:11 AM,07:12 AM,05:59 PM,-1,8,9,8,11,0,50,0.0,1023,7,10,51,6
2018-02-04 00:00:00,18,4,0.0,10.1,3,1,66,10:10 PM,09:49 AM,07:12 AM,06:00 PM,-12,5,6,5,17,0,25,0.0,1023,4,10,64,8
2018-02-04 06:00:00,18,4,0.0,10.1,3,3,66,10:10 PM,09:49 AM,07:12 AM,06:00 PM,-14,6,8,6,16,0,20,0.0,1023,6,10,64,8
2018-02-04 12:00:00,18,4,0.0,10.1,3,5,66,10:10 PM,09:49 AM,07:12 AM,06:00 PM,-8,17,17,17,9,32,18,0.0,1017,17,10,258,8
2018-02-04 18:00:00,18,4,0.0,10.1,3,3,66,10:10 PM,09:49 AM,07:12 AM,06:00 PM,-6,9,9,9,12,6,33,0.0,1021,9,10,57,6
2018-02-05 00:00:00,16,8,0.0,8.5,4,1,58,11:09 PM,10:25 AM,07:11 AM,06:00 PM,-13,8,9,8,11,15,20,0.0,1019,8,10,76,5
2018-02-05 06:00:00,16,8,0.0,8.5,4,3,58,11:09 PM,10:25 AM,07:11 AM,06:00 PM,-9,9,10,9,11,31,27,0.0,1022,9,10,78,6
2018-02-05 12:00:00,16,8,0.0,8.5,4,5,58,11:09 PM,10:25 AM,07:11 AM,06:00 PM,-6,17,17,17,5,50,21,0.0,1021,16,10,224,5
2018-02-05 18:00:00,16,8,0.0,8.5,4,2,58,11:09 PM,10:25 AM,07:11 AM,06:00 PM,-3,10,10,10,11,96,39,0.1,1023,10,10,73,6
2018-02-06 00:00:00,17,6,0.0,10.9,4,1,51,No moonrise,11:01 AM,07:10 AM,06:01 PM,-1,10,10,10,8,4,45,0.0,1021,9,10,99,5
2018-02-06 06:00:00,17,6,0.0,10.9,4,3,51,No moonrise,11:01 AM,07:10 AM,06:01 PM,-0,12,12,12,6,0,43,0.0,1022,9,10,68,5
2018-02-06 12:00:00,17,6,0.0,10.9,4,5,51,No moonrise,11:01 AM,07:10 AM,06:01 PM,-4,17,17,17,11,0,23,0.0,1019,16,10,253,9
2018-02-06 18:00:00,17,6,0.0,10.9,4,3,51,No moonrise,11:01 AM,07:10 AM,06:01 PM,-2,9,9,9,9,0,45,0.0,1023,7,10,49,5
2018-02-07 00:00:00,16,5,0.0,10.9,3,1,43,12:05 AM,11:37 AM,07:10 AM,06:02 PM,-7,6,8,6,14,0,35,0.0,1021,5,10,68,8
2018-02-07 06:00:00,16,5,0.0,10.9,3,3,43,12:05 AM,11:37 AM,07:10 AM,06:02 PM,-5,11,11,11,7,0,33,0.0,1020,8,10,68,6
2018-02-07 12:00:00,16,5,0.0,10.9,3,5,43,12:05 AM,11:37 AM,07:10 AM,06:02 PM,-2,16,16,16,10,16,30,0.0,1015,15,10,256,9
2018-02-07 18:00:00,16,5,0.0,10.9,3,3,43,12:05 AM,11:37 AM,07:10 AM,06:02 PM,1,8,9,8,9,10,58,0.3,1018,8,10,51,5
2018-02-08 00:00:00,14,5,0.0,10.9,3,1,36,01:01 AM,12:14 PM,07:09 AM,06:03 PM,-1,6,7,6,10,5,55,0.0,1020,5,10,78,5
2018-02-08 06:00:00,14,5,0.0,10.9,3,3,36,01:01 AM,12:14 PM,07:09 AM,06:03 PM,-4,9,10,9,8,0,39,0.0,1019,7,10,69,6
2018-02-08 12:00:00,14,5,0.0,10.9,3,4,36,01:01 AM,12:14 PM,07:09 AM,06:03 PM,-6,14,15,14,12,3,23,0.0,1014,14,10,248,11
