date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,5,-0,0.0,8.7,2,1,97,05:12 PM,07:10 AM,08:17 AM,05:36 PM,-1,0,0,0,3,25,89,0.0,1019,-0,10,340,2
2018-01-01 06:00:00,5,-0,0.0,8.7,2,1,97,05:12 PM,07:10 AM,08:17 AM,05:36 PM,-2,1,1,1,3,18,83,0.0,1019,0,10,284,2
2018-01-01 12:00:00,5,-0,0.0,8.7,2,2,97,05:12 PM,07:10 AM,08:17 AM,05:36 PM,-4,3,5,3,10,48,54,0.0,1017,5,10,316,8
2018-01-01 18:00:00,5,-0,0.0,8.7,2,2,97,05:12 PM,07:10 AM,08:17 AM,05:36 PM,-3,1,1,1,3,30,74,0.0,1017,1,10,194,2
2018-01-02 00:00:00,8,1,0.0,8.7,2,1,100,06:17 PM,08:15 AM,08:17 AM,05:37 PM,-2,1,1,1,6,21,80,0.0,1016,1,10,157,3
2018-01-02 06:00:00,8,1,0.0,8.7,2,1,100,06:17 PM,08:15 AM,08:17 AM,05:37 PM,-2,-1,2,-1,16,7,78,0.0,1014,2,10,148,8
2018-01-02 12:00:00,8,1,0.0,8.7,2,3,100,06:17 PM,08:15 AM,08:17 AM,05:37 PM,-0,6,8,6,10,6,57,0.0,1011,8,10,166,8
2018-01-02 18:00:00,8,1,0.0,8.7,2,2,100,06:17 PM,08:15 AM,08:17 AM,05:37 PM,-1,0,3,0,17,13,76,0.0,1012,3,10,154,8
2018-01-03 00:00:00,7,2,0.0,5.2,2,1,89,07:27 PM,09:14 AM,08:17 AM,05:38 PM,0,1,3,1,16,44,80,0.0,1011,3,10,148,8
2018-01-03 06:00:00,7,2,0.0,5.2,2,1,89,07:27 PM,09:14 AM,08:17 AM,05:38 PM,-0,-0,2,-0,18,17,85,0.0,1011,2,10,143,9
2018-01-03 12:00:00,7,2,0.0,5.2,2,2,89,07:27 PM,09:14 AM,08:17 AM,05:38 PM,2,5,8,5,17,67,68,0.0,1008,7,9,175,13
2018-01-03 18:00:00,7,2,0.0,5.2,2,1,89,07:27 PM,09:14 AM,08:17 AM,05:38 PM,3,2,4,2,11,70,91,0.0,1008,4,10,146,6
2018-01-04 00:00:00,6,1,0.0,8.7,1,1,81,08:38 PM,10:04 AM,08:17 AM,05:39 PM,1,0,3,0,16,90,91,0.0,1007,3,10,173,9
2018-01-04 06:00:00,6,1,0.0,8.7,1,1,81,08:38 PM,10:04 AM,08:17 AM,05:39 PM,1,-0,2,-0,16,32,91,0.0,1007,2,10,159,9
2018-01-04 12:00:00,6,1,0.0,8.7,1,3,81,08:38 PM,10:04 AM,08:17 AM,05:39 PM,1,5,6,5,5,47,70,0.0,1005,6,10,206,4
2018-01-04 18:00:00,6,1,0.0,8.7,1,2,81,08:38 PM,10:04 AM,08:17 AM,05:39 PM,0,1,2,1,6,33,89,0.0,1006,1,10,114,3
2018-01-05 00:00:00,5,1,0.0,5.2,1,1,74,09:49 PM,10:47 AM,08:17 AM,05:40 PM,-1,1,1,1,3,73,86,0.0,1008,1,10,321,2
2018-01-05 06:00:00,5,1,0.0,5.2,1,1,74,09:49 PM,10:47 AM,08:17 AM,05:40 PM,0,2,2,2,3,48,90,0.0,1010,1,10,21,2
2018-01-05 12:00:00,5,1,0.0,5.2,1,1,74,09:49 PM,10:47 AM,08:17 AM,05:40 PM,2,4,5,4,6,100,79,0.0,1012,5,10,325,5
2018-01-05 18:00:00,5,1,0.0,5.2,1,1,74,09:49 PM,10:47 AM,08:17 AM,05:40 PM,2,1,2,1,8,89,96,0.0,1016,2,2,338,5
2018-01-06 00:00:00,7,-0,0.0,8.7,1,1,67,10:57 PM,11:25 AM,08:17 AM,05:41 PM,0,1,1,1,5,49,95,0.0,1019,1,2,52,3
2018-01-06 06:00:00,7,-0,0.0,8.7,1,1,67,10:57 PM,11:25 AM,08:17 AM,05:41 PM,-1,1,2,1,5,5,85,0.0,1022,1,10,125,3
2018-01-06 12:00:00,7,-0,0.0,8.7,1,3,67,10:57 PM,11:25 AM,08:17 AM,05:41 PM,0,9,9,9,2,2,56,0.0,1022,7,10,183,2
2018-01-06 18:00:00,7,-0,0.0,8.7,1,2,67,10:57 PM,11:25 AM,08:17 AM,05:41 PM,-2,-1,2,-1,14,3,80,0.0,1025,1,10,152,7
2018-01-07 00:00:00,9,1,0.0,8.7,2,1,59,No moonrise,11:58 AM,08:17 AM,05:42 PM,-3,-2,1,-2,18,0,77,0.0,1027,1,10,150,9
2018-01-07 06:00:00,9,1,0.0,8.7,2,1,59,No moonrise,11:58 AM,08:17 AM,05:42 PM,-2,-1,2,-1,20,9,74,0.0,1029,2,10,160,9
2018-01-07 12:00:00,9,1,0.0,8.7,2,3,59,No moonrise,11:58 AM,08:17 AM,05:42 PM,-1,9,10,9,6,0,49,0.0,1028,9,10,184,5
2018-01-07 18:00:00,9,1,0.0,8.7,2,2,59,No moonrise,11:58 AM,08:17 AM,05:42 PM,-3,3,4,3,11,1,60,0.0,1030,3,10,160,5
2018-01-08 00:00:00,9,3,0.0,8.7,2,1,52,12:02 AM,12:28 PM,08:17 AM,05:43 PM,-5,3,4,3,10,4,55,0.0,1031,3,10,170,5
2018-01-08 06:00:00,9,3,0.0,8.7,2,1,52,12:02 AM,12:28 PM,08:17 AM,05:43 PM,-3,4,4,4,4,4,62,0.0,1034,3,10,152,2
2018-01-08 12:00:00,9,3,0.0,8.7,2,3,52,12:02 AM,12:28 PM,08:17 AM,05:43 PM,0,9,9,9,3,9,56,0.0,1031,8,10,237,3
2018-01-08 18:00:00,9,3,0.0,8.7,2,2,52,12:02 AM,12:28 PM,08:17 AM,05:43 PM,-1,3,4,3,10,11,71,0.0,1032,4,10,166,5
2018-01-09 00:00:00,8,2,0.0,8.7,1,1,45,01:05 AM,12:58 PM,08:17 AM,05:44 PM,-3,2,3,2,12,100,66,0.0,1031,3,10,151,6
2018-01-09 06:00:00,8,2,0.0,8.7,1,1,45,01:05 AM,12:58 PM,08:17 AM,05:44 PM,-2,4,4,4,5,9,64,0.0,1032,3,10,290,3
2018-01-09 12:00:00,8,2,0.0,8.7,1,3,45,01:05 AM,12:58 PM,08:17 AM,05:44 PM,2,5,6,5,7,42,75,0.0,1032,6,10,0,6
2018-01-09 18:00:00,8,2,0.0,8.7,1,2,45,01:05 AM,12:58 PM,08:17 AM,05:44 PM,1,1,3,1,10,33,90,0.0,1033,3,10,102,5
2018-01-10 00:00:00,7,2,0.0,7.0,2,1,38,02:06 AM,01:28 PM,08:17 AM,05:45 PM,-1,-0,2,-0,14,13,84,0.0,1031,2,10,143,7
2018-01-10 06:00:00,7,2,0.0,7.0,2,1,38,02:06 AM,01:28 PM,08:17 AM,05:45 PM,-1,-1,2,-1,16,48,80,0.0,1029,2,10,156,8
2018-01-10 12:00:00,7,2,0.0,7.0,2,3,38,02:06 AM,01:28 PM,08:17 AM,05:45 PM,-1,6,7,6,9,49,59,0.0,1023,7,10,174,7
2018-01-10 18:00:00,7,2,0.0,7.0,2,1,38,02:06 AM,01:28 PM,08:17 AM,05:45 PM,-3,2,4,2,18,79,63,0.0,1020,4,10,149,9
2018-01-11 00:00:00,8,3,0.0,7.0,3,1,30,03:05 AM,01:59 PM,08:16 AM,05:46 PM,-5,1,3,1,17,30,55,0.0,1017,3,10,139,8
2018-01-11 06:00:00,8,3,0.0,7.0,3,1,30,03:05 AM,01:59 PM,08:16 AM,05:46 PM,-6,2,3,2,14,10,50,0.0,1015,3,10,156,7
2018-01-11 12:00:00,8,3,0.0,7.0,3,2,30,03:05 AM,01:59 PM,08:16 AM,05:46 PM,-3,7,8,7,9,75,46,0.0,1012,8,10,188,7
2018-01-11 18:00:00,8,3,0.0,7.0,3,1,30,03:05 AM,01:59 PM,08:16 AM,05:46 PM,0,3,5,3,12,76,72,0.0,1013,5,10,148,6
2018-01-12 00:00:00,7,3,0.0,5.2,1,1,23,04:03 AM,02:33 PM,08:16 AM,05:47 PM,3,3,5,3,10,100,88,0.0,1013,4,10,167,6
2018-01-12 06:00:00,7,3,0.0,5.2,1,1,23,04:03 AM,02:33 PM,08:16 AM,05:47 PM,2,3,4,3,11,100,89,0.0,1016,4,10,158,6
2018-01-12 12:00:00,7,3,0.0,5.2,1,2,23,04:03 AM,02:33 PM,08:16 AM,05:47 PM,4,6,6,6,4,100,83,0.0,1016,6,10,176,3
2018-01-12 18:00:00,7,3,0.0,5.2,1,1,23,04:03 AM,02:33 PM,08:16 AM,05:47 PM,4,3,4,3,7,100,97,0.0,1019,4,2,300,5
2018-01-13 00:00:00,5,2,0.0,5.2,1,1,16,04:59 AM,03:10 PM,08:16 AM,05:48 PM,4,4,4,4,3,100,98,0.0,1020,4,0,319,3
2018-01-13 06:00:00,5,2,0.0,5.2,1,1,16,04:59 AM,03:10 PM,08:16 AM,05:48 PM,3,3,3,3,4,99,96,0.0,1021,3,2,45,3
2018-01-13 12:00:00,5,2,0.0,5.2,1,2,16,04:59 AM,03:10 PM,08:16 AM,05:48 PM,2,5,5,5,4,83,82,0.0,1018,5,10,55,3
2018-01-13 18:00:00,5,2,0.0,5.2,1,1,16,04:59 AM,03:10 PM,08:16 AM,05:48 PM,2,0,3,0,12,89,94,0.0,1017,3,2,15,8
2018-01-14 00:00:00,1,-3,4.9,3.5,1,1,9,05:54 AM,03:51 PM,08:15 AM,05:49 PM,1,-1,1,-1,10,100,96,0.0,1017,1,2,353,8
2018-01-14 06:00:00,1,-3,4.9,3.5,1,1,9,05:54 AM,03:51 PM,08:15 AM,05:49 PM,-1,-4,-0,-4,14,100,95,0.0,1018,-0,2,339,10
2018-01-14 12:00:00,1,-3,4.9,3.5,1,1,9,05:54 AM,03:51 PM,08:15 AM,05:49 PM,-2,-5,-1,-5,18,100,96,0.0,1021,-1,10,5,14
2018-01-14 18:00:00,1,-3,4.9,3.5,1,1,9,05:54 AM,03:51 PM,08:15 AM,05:49 PM,-3,-5,-2,-5,12,100,96,0.0,1025,-2,2,339,8
2018-01-15 00:00:00,0,-3,0.0,8.7,2,1,1,06:45 AM,04:36 PM,08:15 AM,05:50 PM,-5,-5,-3,-5,6,58,85,0.0,1028,-3,10,346,5
2018-01-15 06:00:00,0,-3,0.0,8.7,2,1,1,06:45 AM,04:36 PM,08:15 AM,05:50 PM,-5,-3,-3,-3,4,38,82,0.0,1029,-3,10,355,3
2018-01-15 12:00:00,0,-3,0.0,8.7,2,2,1,06:45 AM,04:36 PM,08:15 AM,05:50 PM,-5,-1,0,-1,5,14,65,0.0,1029,0,10,315,4
2018-01-15 18:00:00,0,-3,0.0,8.7,2,2,1,06:45 AM,04:36 PM,08:15 AM,05:50 PM,-5,-5,-3,-5,9,46,81,0.0,1028,-3,10,156,5
2018-01-16 00:00:00,2,-2,0.3,5.2,2,1,0,07:34 AM,05:26 PM,08:15 AM,05:51 PM,-6,-5,-2,-5,12,47,76,0.0,1026,-2,10,158,7
2018-01-16 06:00:00,2,-2,0.3,5.2,2,1,0,07:34 AM,05:26 PM,08:15 AM,05:51 PM,-5,-5,-1,-5,16,87,75,0.0,1023,-1,10,161,10
2018-01-16 12:00:00,2,-2,0.3,5.2,2,2,0,07:34 AM,05:26 PM,08:15 AM,05:51 PM,-2,-2,2,-2,16,60,76,0.0,1018,2,10,188,12
2018-01-16 18:00:00,2,-2,0.3,5.2,2,1,0,07:34 AM,05:26 PM,08:15 AM,05:51 PM,-1,-2,1,-2,13,100,87,0.0,1016,1,10,174,8
2018-01-17 00:00:00,6,-0,0.0,8.7,2,1,0,08:17 AM,06:19 PM,08:14 AM,05:52 PM,-1,-3,1,-3,19,46,89,0.0,1013,0,10,180,10
2018-01-17 06:00:00,6,-0,0.0,8.7,2,1,0,08:17 AM,06:19 PM,08:14 AM,05:52 PM,-0,-2,1,-2,17,40,89,0.0,1011,1,10,170,10
2018-01-17 12:00:00,6,-0,0.0,8.7,2,3,0,08:17 AM,06:19 PM,08:14 AM,05:52 PM,0,4,6,4,11,37,69,0.0,1008,6,10,184,9
2018-01-17 18:00:00,6,-0,0.0,8.7,2,2,0,08:17 AM,06:19 PM,08:14 AM,05:52 PM,-1,-2,2,-2,26,18,81,0.0,1004,2,10,152,13
2018-01-18 00:00:00,3,-3,0.0,3.5,1,1,6,08:57 AM,07:15 PM,08:14 AM,05:53 PM,1,-0,3,-0,21,100,85,0.0,998,3,10,155,13
2018-01-18 06:00:00,3,-3,0.0,3.5,1,1,6,08:57 AM,07:15 PM,08:14 AM,05:53 PM,2,0,3,0,16,100,96,0.0,992,3,2,164,9
2018-01-18 12:00:00,3,-3,0.0,3.5,1,1,6,08:57 AM,07:15 PM,08:14 AM,05:53 PM,-2,-6,-1,-6,24,94,94,0.0,998,-1,10,313,18
2018-01-18 18:00:00,3,-3,0.0,3.5,1,1,6,08:57 AM,07:15 PM,08:14 AM,05:53 PM,-4,-10,-3,-10,44,95,92,0.0,1006,-3,10,317,31
2018-01-19 00:00:00,1,-3,2.3,8.7,1,1,13,09:34 AM,08:13 PM,08:13 AM,05:55 PM,-4,-9,-3,-9,28,83,90,0.0,1009,-3,10,304,21
2018-01-19 06:00:00,1,-3,2.3,8.7,1,1,13,09:34 AM,08:13 PM,08:13 AM,05:55 PM,-5,-7,-3,-7,14,83,91,0.0,1014,-3,10,306,11
2018-01-19 12:00:00,1,-3,2.3,8.7,1,2,13,09:34 AM,08:13 PM,08:13 AM,05:55 PM,-7,0,2,0,6,0,51,0.0,1017,1,10,293,5
2018-01-19 18:00:00,1,-3,2.3,8.7,1,2,13,09:34 AM,08:13 PM,08:13 AM,05:55 PM,-9,-6,-3,-6,17,6,63,0.0,1019,-3,10,153,8
2018-01-20 00:00:00,5,-3,0.0,8.7,2,1,20,10:06 AM,09:12 PM,08:13 AM,05:56 PM,-9,-7,-3,-7,23,9,63,0.0,1020,-3,10,154,11
2018-01-20 06:00:00,5,-3,0.0,8.7,2,1,20,10:06 AM,09:12 PM,08:13 AM,05:56 PM,-8,-6,-2,-6,23,44,62,0.0,1019,-2,10,157,11
2018-01-20 12:00:00,5,-3,0.0,8.7,2,3,20,10:06 AM,09:12 PM,08:13 AM,05:56 PM,-4,3,5,3,12,59,54,0.0,1016,5,10,179,9
2018-01-20 18:00:00,5,-3,0.0,8.7,2,2,20,10:06 AM,09:12 PM,08:13 AM,05:56 PM,-5,-3,1,-3,26,62,65,0.0,1015,1,10,162,13
2018-01-21 00:00:00,5,2,0.0,8.7,1,1,28,10:37 AM,10:12 PM,08:12 AM,05:57 PM,-0,-1,2,-1,20,93,87,0.0,1014,2,10,168,10
2018-01-21 06:00:00,5,2,0.0,8.7,1,1,28,10:37 AM,10:12 PM,08:12 AM,05:57 PM,1,0,2,0,11,53,91,0.0,1016,2,10,160,6
2018-01-21 12:00:00,5,2,0.0,8.7,1,3,28,10:37 AM,10:12 PM,08:12 AM,05:57 PM,2,3,5,3,15,49,81,0.0,1013,5,10,158,11
2018-01-21 18:00:00,5,2,0.0,8.7,1,2,28,10:37 AM,10:12 PM,08:12 AM,05:57 PM,0,-1,3,-1,26,48,84,0.0,1009,2,10,151,13
2018-01-22 00:00:00,5,2,0.0,7.0,1,1,35,11:07 AM,11:14 PM,08:11 AM,05:58 PM,1,0,3,0,22,73,87,0.0,1005,3,10,147,11
2018-01-22 06:00:00,5,2,0.0,7.0,1,1,35,11:07 AM,11:14 PM,08:11 AM,05:58 PM,1,-0,3,-0,23,100,85,0.0,1002,3,10,146,14
2018-01-22 12:00:00,5,2,0.0,7.0,1,3,35,11:07 AM,11:14 PM,08:11 AM,05:58 PM,2,3,5,3,12,51,80,0.0,1000,5,10,158,10
2018-01-22 18:00:00,5,2,0.0,7.0,1,1,35,11:07 AM,11:14 PM,08:11 AM,05:58 PM,2,3,3,3,5,95,96,0.0,1003,3,2,330,3
2018-01-23 00:00:00,1,-4,3.5,5.3,1,1,42,11:37 AM,No moonset,08:11 AM,05:59 PM,1,-2,1,-2,16,100,98,0.0,1007,1,0,317,11
2018-01-23 06:00:00,1,-4,3.5,5.3,1,1,42,11:37 AM,No moonset,08:11 AM,05:59 PM,-2,-6,-1,-6,18,100,96,0.0,1012,-1,10,337,13
2018-01-23 12:00:00,1,-4,3.5,5.3,1,2,42,11:37 AM,No moonset,08:11 AM,05:59 PM,-3,-5,-1,-5,12,56,88,0.0,1017,-1,10,337,10
2018-01-23 18:00:00,1,-4,3.5,5.3,1,1,42,11:37 AM,No moonset,08:11 AM,05:59 PM,-4,-7,-3,-7,15,95,94,0.0,1022,-3,10,349,11
2018-01-24 00:00:00,-3,-7,1.4,8.3,1,1,49,12:08 PM,12:17 AM,08:10 AM,06:00 PM,-5,-7,-4,-7,13,100,93,0.0,1024,-4,10,348,9
2018-01-24 06:00:00,-3,-7,1.4,8.3,1,1,49,12:08 PM,12:17 AM,08:10 AM,06:00 PM,-5,-8,-4,-8,15,86,89,0.0,1026,-4,10,9,11
2018-01-24 12:00:00,-3,-7,1.4,8.3,1,2,49,12:08 PM,12:17 AM,08:10 AM,06:00 PM,-6,-8,-3,-8,19,50,81,0.0,1027,-3,10,9,16
2018-01-24 18:00:00,-3,-7,1.4,8.3,1,1,49,12:08 PM,12:17 AM,08:10 AM,06:00 PM,-7,-11,-6,-11,18,83,90,0.0,1029,-6,10,12,13
2018-01-25 00:00:00,-4,-7,0.1,8.3,1,1,57,12:41 PM,01:22 AM,08:09 AM,06:02 PM,-8,-12,-7,-12,19,92,92,0.0,1029,-7,10,16,14
2018-01-25 06:00:00,-4,-7,0.1,8.3,1,1,57,12:41 PM,01:22 AM,08:09 AM,06:02 PM,-9,-11,-7,-11,12,42,84,0.0,1028,-7,10,11,9
2018-01-25 12:00:00,-4,-7,0.1,8.3,1,1,57,12:41 PM,01:22 AM,08:09 AM,06:02 PM,-8,-9,-4,-9,17,80,69,0.0,1026,-4,10,10,15
2018-01-25 18:00:00,-4,-7,0.1,8.3,1,1,57,12:41 PM,01:22 AM,08:09 AM,06:02 PM,-8,-11,-7,-11,14,82,88,0.0,1026,-7,10,9,10
2018-01-26 00:00:00,-3,-8,0.1,8.3,2,1,64,01:19 PM,02:28 AM,08:09 AM,06:03 PM,-9,-11,-8,-11,11,46,90,0.0,1026,-8,10,39,7
2018-01-26 06:00:00,-3,-8,0.1,8.3,2,1,64,01:19 PM,02:28 AM,08:09 AM,06:03 PM,-9,-10,-7,-10,7,51,87,0.0,1026,-7,10,359,5
2018-01-26 12:00:00,-3,-8,0.1,8.3,2,2,64,01:19 PM,02:28 AM,08:09 AM,06:03 PM,-6,-7,-3,-7,10,55,77,0.0,1025,-3,10,1,9
2018-01-26 18:00:00,-3,-8,0.1,8.3,2,1,64,01:19 PM,02:28 AM,08:09 AM,06:03 PM,-7,-9,-6,-9,12,74,93,0.0,1028,-6,10,20,8
2018-01-27 00:00:00,1,-6,0.0,10.0,2,1,71,02:03 PM,03:37 AM,08:08 AM,06:04 PM,-6,-8,-5,-8,10,49,93,0.0,1030,-5,10,21,6
2018-01-27 06:00:00,1,-6,0.0,10.0,2,1,71,02:03 PM,03:37 AM,08:08 AM,06:04 PM,-5,-5,-4,-5,6,28,88,0.0,1031,-4,10,58,4
2018-01-27 12:00:00,1,-6,0.0,10.0,2,2,71,02:03 PM,03:37 AM,08:08 AM,06:04 PM,-3,-1,1,-1,7,5,74,0.0,1031,1,10,9,6
2018-01-27 18:00:00,1,-6,0.0,10.0,2,2,71,02:03 PM,03:37 AM,08:08 AM,06:04 PM,-5,-3,-3,-3,6,4,90,0.0,1033,-4,10,124,3
2018-01-28 00:00:00,2,-4,0.0,10.0,2,1,78,02:54 PM,04:46 AM,08:07 AM,06:05 PM,-6,-4,-4,-4,5,8,84,0.0,1033,-4,10,116,3
2018-01-28 06:00:00,2,-4,0.0,10.0,2,1,78,02:54 PM,04:46 AM,08:07 AM,06:05 PM,-5,-2,-2,-2,2,15,77,0.0,1034,-2,10,146,1
2018-01-28 12:00:00,2,-4,0.0,10.0,2,2,78,02:54 PM,04:46 AM,08:07 AM,06:05 PM,-2,0,2,0,7,23,75,0.0,1031,2,10,312,6
2018-01-28 18:00:00,2,-4,0.0,10.0,2,2,78,02:54 PM,04:46 AM,08:07 AM,06:05 PM,-3,-2,-2,-2,1,26,93,0.0,1031,-3,10,153,1
2018-01-29 00:00:00,4,-3,0.0,10.0,2,1,86,03:53 PM,05:53 AM,08:06 AM,06:06 PM,-4,-3,-3,-3,4,15,92,0.0,1030,-3,10,221,2
2018-01-29 06:00:00,4,-3,0.0,10.0,2,1,86,03:53 PM,05:53 AM,08:06 AM,06:06 PM,-4,-1,-1,-1,4,12,77,0.0,1030,-1,10,218,3
2018-01-29 12:00:00,4,-3,0.0,10.0,2,2,86,03:53 PM,05:53 AM,08:06 AM,06:06 PM,-2,1,4,1,11,7,64,0.0,1027,4,10,305,9
2018-01-29 18:00:00,4,-3,0.0,10.0,2,2,86,03:53 PM,05:53 AM,08:06 AM,06:06 PM,-4,-1,-1,-1,3,19,83,0.0,1028,-2,10,183,1
2018-01-30 00:00:00,7,-1,0.0,10.0,2,1,93,05:00 PM,06:55 AM,08:05 AM,06:08 PM,-4,-0,-0,-0,6,9,77,0.0,1027,-1,10,198,3
2018-01-30 06:00:00,7,-1,0.0,10.0,2,1,93,05:00 PM,06:55 AM,08:05 AM,06:08 PM,-3,-1,1,-1,12,8,73,0.0,1025,1,10,176,6
2018-01-30 12:00:00,7,-1,0.0,10.0,2,3,93,05:00 PM,06:55 AM,08:05 AM,06:08 PM,1,6,7,6,8,16,61,0.0,1022,7,10,230,7
2018-01-30 18:00:00,7,-1,0.0,10.0,2,2,93,05:00 PM,06:55 AM,08:05 AM,06:08 PM,-2,0,2,0,12,8,78,0.0,1023,1,10,180,6
2018-01-31 00:00:00,6,-0,0.0,10.1,2,1,97,06:10 PM,07:49 AM,08:04 AM,06:09 PM,-2,1,1,1,6,46,82,0.0,1025,0,10,260,3
2018-01-31 06:00:00,6,-0,0.0,10.1,2,1,97,06:10 PM,07:49 AM,08:04 AM,06:09 PM,-0,1,1,1,6,29,89,0.0,1026,1,10,234,4
2018-01-31 12:00:00,6,-0,0.0,10.1,2,3,97,06:10 PM,07:49 AM,08:04 AM,06:09 PM,-0,5,6,5,8,12,63,0.0,1024,6,10,299,7
2018-01-31 18:00:00,6,-0,0.0,10.1,2,2,97,06:10 PM,07:49 AM,08:04 AM,06:09 PM,-1,2,2,2,3,2,85,0.0,1024,0,10,161,2
2018-02-01 00:00:00,9,-0,0.0,10.1,2,1,88,07:23 PM,08:36 AM,08:03 AM,06:10 PM,-4,-1,1,-1,14,0,72,0.0,1024,0,10,173,6
2018-02-01 06:00:00,9,-0,0.0,10.1,2,1,88,07:23 PM,08:36 AM,08:03 AM,06:10 PM,-6,-1,1,-1,16,98,59,0.0,1023,1,10,158,8
2018-02-01 12:00:00,9,-0,0.0,10.1,2,3,88,07:23 PM,08:36 AM,08:03 AM,06:10 PM,-0,8,9,8,9,0,51,0.0,1020,9,10,185,8
2018-02-01 18:00:00,9,-0,0.0,10.1,2,2,88,07:23 PM,08:36 AM,08:03 AM,06:10 PM,-3,-0,3,-0,19,5,69,0.0,1021,2,10,154,9
2018-02-02 00:00:00,9,1,0.0,8.3,2,1,81,08:34 PM,09:18 AM,08:02 AM,06:11 PM,-3,-1,2,-1,18,8,74,0.0,1022,2,10,156,9
2018-02-02 06:00:00,9,1,0.0,8.3,2,1,81,08:34 PM,09:18 AM,08:02 AM,06:11 PM,-1,-0,3,-0,21,54,76,0.0,1023,3,10,162,10
2018-02-02 12:00:00,9,1,0.0,8.3,2,2,81,08:34 PM,09:18 AM,08:02 AM,06:11 PM,2,8,9,8,9,96,65,0.0,1020,9,10,190,6
2018-02-02 18:00:00,9,1,0.0,8.3,2,2,81,08:34 PM,09:18 AM,08:02 AM,06:11 PM,1,2,4,2,16,23,78,0.0,1020,4,10,166,8
2018-02-03 00:00:00,10,3,0.0,10.1,3,1,73,09:44 PM,09:54 AM,08:01 AM,06:12 PM,1,2,3,2,12,45,84,0.0,1021,3,10,166,6
2018-02-03 06:00:00,10,3,0.0,10.1,3,1,73,09:44 PM,09:54 AM,08:01 AM,06:12 PM,2,1,4,1,20,25,84,0.0,1021,4,10,167,11
2018-02-03 12:00:00,10,3,0.0,10.1,3,3,73,09:44 PM,09:54 AM,08:01 AM,06:12 PM,4,8,10,8,13,17,68,0.0,1017,10,10,157,11
2018-02-03 18:00:00,10,3,0.0,10.1,3,3,73,09:44 PM,09:54 AM,08:01 AM,06:12 PM,2,3,5,3,22,10,79,0.0,1016,5,10,150,10
2018-02-04 00:00:00,10,4,0.0,6.7,2,1,66,10:50 PM,10:27 AM,08:00 AM,06:14 PM,3,4,6,4,22,94,79,0.0,1015,6,10,148,10
2018-02-04 06:00:00,10,4,0.0,6.7,2,1,66,10:50 PM,10:27 AM,08:00 AM,06:14 PM,2,4,6,4,31,100,71,0.0,1014,6,10,153,15
2018-02-04 12:00:00,10,4,0.0,6.7,2,3,66,10:50 PM,10:27 AM,08:00 AM,06:14 PM,1,8,10,8,23,89,54,0.0,1012,10,10,175,15
2018-02-04 18:00:00,10,4,0.0,6.7,2,3,66,10:50 PM,10:27 AM,08:00 AM,06:14 PM,2,6,6,6,6,41,77,0.0,1013,5,10,250,3
2018-02-05 00:00:00,4,1,0.0,8.4,1,1,58,11:53 PM,10:58 AM,07:59 AM,06:15 PM,3,2,3,2,8,90,96,0.0,1017,3,2,315,6
2018-02-05 06:00:00,4,1,0.0,8.4,1,1,58,11:53 PM,10:58 AM,07:59 AM,06:15 PM,2,1,3,1,9,97,96,0.0,1020,3,2,344,6
2018-02-05 12:00:00,4,1,0.0,8.4,1,1,58,11:53 PM,10:58 AM,07:59 AM,06:15 PM,2,3,4,3,8,63,83,0.0,1021,4,10,352,7
2018-02-05 18:00:00,4,1,0.0,8.4,1,1,58,11:53 PM,10:58 AM,07:59 AM,06:15 PM,1,-0,1,-0,9,52,95,0.0,1022,1,2,35,5
2018-02-06 00:00:00,6,0,0.0,8.4,2,1,51,No moonrise,11:29 AM,07:58 AM,06:16 PM,-0,1,1,1,4,12,90,0.0,1021,1,10,82,3
2018-02-06 06:00:00,6,0,0.0,8.4,2,1,51,No moonrise,11:29 AM,07:58 AM,06:16 PM,0,2,2,2,2,32,87,0.0,1021,2,10,65,2
2018-02-06 12:00:00,6,0,0.0,8.4,2,2,51,No moonrise,11:29 AM,07:58 AM,06:16 PM,2,7,7,7,2,65,74,0.0,1022,6,10,278,2
2018-02-06 18:00:00,6,0,0.0,8.4,2,2,51,No moonrise,11:29 AM,07:58 AM,06:16 PM,1,2,2,2,6,17,91,0.0,1024,2,10,134,3
2018-02-07 00:00:00,11,2,0.0,10.0,3,1,43,12:55 AM,12:00 PM,07:57 AM,06:17 PM,1,1,3,1,13,28,85,0.0,1024,3,10,150,6
2018-02-07 06:00:00,11,2,0.0,10.0,3,1,43,12:55 AM,12:00 PM,07:57 AM,06:17 PM,1,2,4,2,15,9,85,0.0,1025,4,10,147,8
2018-02-07 12:00:00,11,2,0.0,10.0,3,4,43,12:55 AM,12:00 PM,07:57 AM,06:17 PM,3,10,11,10,10,26,59,0.0,1022,11,10,177,9
2018-02-07 18:00:00,11,2,0.0,10.0,3,2,43,12:55 AM,12:00 PM,07:57 AM,06:17 PM,2,5,7,5,17,100,70,0.0,1021,7,10,156,8
2018-02-08 00:00:00,12,6,0.0,10.6,3,1,36,01:54 AM,12:33 PM,07:56 AM,06:19 PM,2,4,6,4,22,14,74,0.0,1018,6,10,156,10
