date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,21,10,0.0,8.7,4,1,97,04:55 PM,05:58 AM,07:11 AM,05:30 PM,5,17,17,17,5,0,44,0.0,1015,12,10,329,4
2018-01-01 06:00:00,21,10,0.0,8.7,4,4,97,04:55 PM,05:58 AM,07:11 AM,05:30 PM,6,17,17,17,5,0,49,0.0,1016,12,10,332,4
2018-01-01 12:00:00,21,10,0.0,8.7,4,6,97,04:55 PM,05:58 AM,07:11 AM,05:30 PM,3,24,24,24,8,0,25,0.0,1013,21,10,285,7
2018-01-01 18:00:00,21,10,0.0,8.7,4,4,97,04:55 PM,05:58 AM,07:11 AM,05:30 PM,3,17,17,17,8,0,40,0.0,1015,13,10,349,5
2018-01-02 00:00:00,20,9,0.0,8.7,4,1,100,05:59 PM,07:04 AM,07:11 AM,05:31 PM,4,15,15,15,7,0,47,0.0,1015,10,10,360,6
2018-01-02 06:00:00,20,9,0.0,8.7,4,4,100,05:59 PM,07:04 AM,07:11 AM,05:31 PM,5,15,14,15,7,0,51,0.0,1016,10,10,307,6
2018-01-02 12:00:00,20,9,0.0,8.7,4,6,100,05:59 PM,07:04 AM,07:11 AM,05:31 PM,2,24,24,24,5,0,23,0.0,1014,20,10,297,5
2018-01-02 18:00:00,20,9,0.0,8.7,4,4,100,05:59 PM,07:04 AM,07:11 AM,05:31 PM,3,16,16,16,10,0,42,0.0,1016,13,10,321,6
2018-01-03 00:00:00,21,9,0.0,8.7,4,1,89,07:06 PM,08:05 AM,07:11 AM,05:32 PM,4,13,14,13,12,0,52,0.0,1016,10,10,309,9
2018-01-03 06:00:00,21,9,0.0,8.7,4,4,89,07:06 PM,08:05 AM,07:11 AM,05:32 PM,5,13,14,13,10,0,54,0.0,1016,10,10,294,8
2018-01-03 12:00:00,21,9,0.0,8.7,4,6,89,07:06 PM,08:05 AM,07:11 AM,05:32 PM,2,23,23,23,15,0,26,0.0,1014,21,10,298,13
2018-01-03 18:00:00,21,9,0.0,8.7,4,4,89,07:06 PM,08:05 AM,07:11 AM,05:32 PM,3,14,15,14,18,0,47,0.0,1015,12,10,297,10
2018-01-04 00:00:00,21,8,0.0,8.7,4,1,81,08:13 PM,09:00 AM,07:12 AM,05:32 PM,4,11,12,11,16,0,59,0.0,1015,9,10,311,10
2018-01-04 06:00:00,21,8,0.0,8.7,4,3,81,08:13 PM,09:00 AM,07:12 AM,05:32 PM,5,13,13,13,9,0,56,0.0,1016,10,10,296,8
2018-01-04 12:00:00,21,8,0.0,8.7,4,6,81,08:13 PM,09:00 AM,07:12 AM,05:32 PM,2,23,23,23,12,0,24,0.0,1014,21,10,287,10
2018-01-04 18:00:00,21,8,0.0,8.7,4,4,81,08:13 PM,09:00 AM,07:12 AM,05:32 PM,3,16,16,16,7,0,40,0.0,1016,13,10,323,4
2018-01-05 00:00:00,20,8,0.0,8.7,4,1,74,09:19 PM,09:49 AM,07:12 AM,05:33 PM,4,15,15,15,5,0,50,0.0,1017,9,10,45,4
2018-01-05 06:00:00,20,8,0.0,8.7,4,4,74,09:19 PM,09:49 AM,07:12 AM,05:33 PM,4,15,15,15,2,0,47,0.0,1017,10,10,318,1
2018-01-05 12:00:00,20,8,0.0,8.7,4,5,74,09:19 PM,09:49 AM,07:12 AM,05:33 PM,1,21,23,21,11,3,26,0.0,1014,20,10,286,9
2018-01-05 18:00:00,20,8,0.0,8.7,4,4,74,09:19 PM,09:49 AM,07:12 AM,05:33 PM,3,15,15,15,12,0,42,0.0,1015,12,10,321,7
2018-01-06 00:00:00,20,8,0.0,8.7,4,1,67,10:21 PM,10:32 AM,07:12 AM,05:34 PM,3,13,13,13,10,0,49,0.0,1015,9,10,314,8
2018-01-06 06:00:00,20,8,0.0,8.7,4,3,67,10:21 PM,10:32 AM,07:12 AM,05:34 PM,3,13,13,13,9,0,49,0.0,1015,10,10,301,8
2018-01-06 12:00:00,20,8,0.0,8.7,4,6,67,10:21 PM,10:32 AM,07:12 AM,05:34 PM,2,21,23,21,17,0,29,0.0,1013,20,10,294,15
2018-01-06 18:00:00,20,8,0.0,8.7,4,4,67,10:21 PM,10:32 AM,07:12 AM,05:34 PM,4,14,14,14,18,0,49,0.0,1015,12,10,314,10
2018-01-07 00:00:00,20,8,0.0,8.7,4,1,59,11:21 PM,11:12 AM,07:12 AM,05:35 PM,4,11,12,11,17,0,59,0.0,1015,9,10,317,10
2018-01-07 06:00:00,20,8,0.0,8.7,4,3,59,11:21 PM,11:12 AM,07:12 AM,05:35 PM,4,10,11,10,18,0,60,0.0,1015,9,10,291,13
2018-01-07 12:00:00,20,8,0.0,8.7,4,6,59,11:21 PM,11:12 AM,07:12 AM,05:35 PM,2,20,20,20,21,0,31,0.0,1013,20,10,290,18
2018-01-07 18:00:00,20,8,0.0,8.7,4,4,59,11:21 PM,11:12 AM,07:12 AM,05:35 PM,3,13,14,13,21,0,48,0.0,1015,12,10,293,11
2018-01-08 00:00:00,20,7,0.0,8.7,4,1,52,No moonrise,11:49 AM,07:12 AM,05:35 PM,3,11,12,11,17,0,54,0.0,1015,9,10,289,10
2018-01-08 06:00:00,20,7,0.0,8.7,4,3,52,No moonrise,11:49 AM,07:12 AM,05:35 PM,3,10,11,10,15,0,57,0.0,1016,9,10,296,12
2018-01-08 12:00:00,20,7,0.0,8.7,4,6,52,No moonrise,11:49 AM,07:12 AM,05:35 PM,2,22,23,22,16,0,27,0.0,1016,20,10,293,14
2018-01-08 18:00:00,20,7,0.0,8.7,4,4,52,No moonrise,11:49 AM,07:12 AM,05:35 PM,3,14,14,14,20,0,46,0.0,1018,12,10,312,10
2018-01-09 00:00:00,20,7,0.0,8.7,4,1,45,12:18 AM,12:24 PM,07:12 AM,05:36 PM,3,12,12,12,12,0,52,0.0,1018,9,10,303,9
2018-01-09 06:00:00,20,7,0.0,8.7,4,3,45,12:18 AM,12:24 PM,07:12 AM,05:36 PM,3,12,13,12,9,0,51,0.0,1019,9,10,292,8
2018-01-09 12:00:00,20,7,0.0,8.7,4,6,45,12:18 AM,12:24 PM,07:12 AM,05:36 PM,3,22,23,22,13,0,28,0.0,1018,20,10,291,11
2018-01-09 18:00:00,20,7,0.0,8.7,4,4,45,12:18 AM,12:24 PM,07:12 AM,05:36 PM,3,14,15,14,18,0,46,0.0,1018,12,10,309,9
2018-01-10 00:00:00,22,8,0.0,8.7,4,1,38,01:14 AM,12:59 PM,07:12 AM,05:37 PM,2,10,12,10,20,0,53,0.0,1018,9,10,296,12
2018-01-10 06:00:00,22,8,0.0,8.7,4,3,38,01:14 AM,12:59 PM,07:12 AM,05:37 PM,0,8,10,8,25,6,51,0.0,1019,10,10,289,14
2018-01-10 12:00:00,22,8,0.0,8.7,4,6,38,01:14 AM,12:59 PM,07:12 AM,05:37 PM,2,23,23,22,20,12,26,0.0,1016,22,10,292,17
2018-01-10 18:00:00,22,8,0.0,8.7,4,4,38,01:14 AM,12:59 PM,07:12 AM,05:37 PM,3,14,14,14,26,0,47,0.0,1017,13,10,303,13
2018-01-11 00:00:00,22,9,0.0,8.7,4,1,30,02:07 AM,01:35 PM,07:12 AM,05:38 PM,2,11,12,11,22,0,51,0.0,1016,10,10,292,12
2018-01-11 06:00:00,22,9,0.0,8.7,4,4,30,02:07 AM,01:35 PM,07:12 AM,05:38 PM,-0,8,11,8,32,1,47,0.0,1017,10,10,291,18
2018-01-11 12:00:00,22,9,0.0,8.7,4,6,30,02:07 AM,01:35 PM,07:12 AM,05:38 PM,1,23,23,22,23,2,24,0.0,1014,22,10,290,20
2018-01-11 18:00:00,22,9,0.0,8.7,4,4,30,02:07 AM,01:35 PM,07:12 AM,05:38 PM,3,13,14,13,23,7,48,0.0,1015,13,10,296,11
2018-01-12 00:00:00,22,11,0.0,7.1,5,1,23,03:01 AM,02:13 PM,07:12 AM,05:39 PM,1,11,12,11,25,8,47,0.0,1014,11,10,287,12
2018-01-12 06:00:00,22,11,0.0,7.1,5,4,23,03:01 AM,02:13 PM,07:12 AM,05:39 PM,0,12,13,12,21,7,42,0.0,1016,12,10,287,12
2018-01-12 12:00:00,22,11,0.0,7.1,5,6,23,03:01 AM,02:13 PM,07:12 AM,05:39 PM,2,23,23,23,17,32,26,0.0,1015,22,10,291,15
2018-01-12 18:00:00,22,11,0.0,7.1,5,5,23,03:01 AM,02:13 PM,07:12 AM,05:39 PM,3,16,16,16,22,61,40,0.0,1015,16,10,293,10
2018-01-13 00:00:00,22,10,0.0,8.7,4,1,16,03:54 AM,02:53 PM,07:12 AM,05:39 PM,4,15,15,15,15,0,46,0.0,1016,12,10,309,10
2018-01-13 06:00:00,22,10,0.0,8.7,4,4,16,03:54 AM,02:53 PM,07:12 AM,05:39 PM,4,13,14,13,17,0,51,0.0,1017,11,10,305,12
2018-01-13 12:00:00,22,10,0.0,8.7,4,6,16,03:54 AM,02:53 PM,07:12 AM,05:39 PM,2,23,23,23,23,0,26,0.0,1014,22,10,294,20
2018-01-13 18:00:00,22,10,0.0,8.7,4,4,16,03:54 AM,02:53 PM,07:12 AM,05:39 PM,4,16,16,16,21,0,46,0.0,1016,14,10,288,10
2018-01-14 00:00:00,22,9,0.0,8.7,4,1,9,04:45 AM,03:36 PM,07:12 AM,05:40 PM,4,13,14,13,12,0,53,0.0,1016,10,10,297,9
2018-01-14 06:00:00,22,9,0.0,8.7,4,4,9,04:45 AM,03:36 PM,07:12 AM,05:40 PM,5,13,13,13,12,0,55,0.0,1016,11,10,288,10
2018-01-14 12:00:00,22,9,0.0,8.7,4,6,9,04:45 AM,03:36 PM,07:12 AM,05:40 PM,3,23,23,23,18,0,27,0.0,1015,22,10,287,16
2018-01-14 18:00:00,22,9,0.0,8.7,4,4,9,04:45 AM,03:36 PM,07:12 AM,05:40 PM,5,16,16,16,18,0,47,0.0,1016,14,10,300,9
2018-01-15 00:00:00,21,9,0.0,8.7,4,1,1,05:36 AM,04:22 PM,07:12 AM,05:41 PM,6,15,15,15,8,0,56,0.0,1017,10,10,296,6
2018-01-15 06:00:00,21,9,0.0,8.7,4,4,1,05:36 AM,04:22 PM,07:12 AM,05:41 PM,4,12,13,12,13,0,56,0.0,1018,10,10,288,11
2018-01-15 12:00:00,21,9,0.0,8.7,4,6,1,05:36 AM,04:22 PM,07:12 AM,05:41 PM,4,22,23,22,19,0,31,0.0,1015,21,10,291,17
2018-01-15 18:00:00,21,9,0.0,8.7,4,4,1,05:36 AM,04:22 PM,07:12 AM,05:41 PM,5,14,15,14,22,0,52,0.0,1015,13,10,295,11
2018-01-16 00:00:00,21,8,0.0,8.7,4,1,0,06:24 AM,05:11 PM,07:12 AM,05:42 PM,1,10,11,10,24,0,50,0.0,1014,9,10,293,13
2018-01-16 06:00:00,21,8,0.0,8.7,4,3,0,06:24 AM,05:11 PM,07:12 AM,05:42 PM,2,10,11,10,16,0,54,0.0,1015,9,10,287,12
2018-01-16 12:00:00,21,8,0.0,8.7,4,6,0,06:24 AM,05:11 PM,07:12 AM,05:42 PM,7,24,24,24,8,0,33,0.0,1013,21,10,156,7
2018-01-16 18:00:00,21,8,0.0,8.7,4,4,0,06:24 AM,05:11 PM,07:12 AM,05:42 PM,6,17,17,17,14,0,50,0.0,1014,14,10,92,7
2018-01-17 00:00:00,22,9,0.0,8.7,4,1,0,07:10 AM,06:01 PM,07:12 AM,05:43 PM,11,15,15,15,8,0,76,0.0,1015,11,10,95,6
2018-01-17 06:00:00,22,9,0.0,8.7,4,4,0,07:10 AM,06:01 PM,07:12 AM,05:43 PM,9,15,15,15,8,0,67,0.0,1017,11,10,151,7
2018-01-17 12:00:00,22,9,0.0,8.7,4,6,0,07:10 AM,06:01 PM,07:12 AM,05:43 PM,8,25,25,26,7,0,33,0.0,1015,22,10,153,6
2018-01-17 18:00:00,22,9,0.0,8.7,4,4,0,07:10 AM,06:01 PM,07:12 AM,05:43 PM,8,18,18,18,8,0,51,0.0,1016,15,10,301,5
2018-01-18 00:00:00,25,11,0.0,8.7,5,1,6,07:53 AM,06:54 PM,07:12 AM,05:44 PM,8,16,16,16,10,0,58,0.0,1016,12,10,333,7
2018-01-18 06:00:00,25,11,0.0,8.7,5,4,6,07:53 AM,06:54 PM,07:12 AM,05:44 PM,7,16,16,16,12,0,54,0.0,1017,13,10,299,9
2018-01-18 12:00:00,25,11,0.0,8.7,5,6,6,07:53 AM,06:54 PM,07:12 AM,05:44 PM,7,25,25,25,20,0,31,0.0,1014,25,10,295,18
2018-01-18 18:00:00,25,11,0.0,8.7,5,5,6,07:53 AM,06:54 PM,07:12 AM,05:44 PM,8,18,18,18,24,0,54,0.0,1015,16,10,310,12
2018-01-19 00:00:00,24,11,0.0,8.7,5,1,13,08:33 AM,07:48 PM,07:11 AM,05:44 PM,6,15,15,15,21,0,55,0.0,1015,12,10,310,11
2018-01-19 06:00:00,24,11,0.0,8.7,5,4,13,08:33 AM,07:48 PM,07:11 AM,05:44 PM,7,14,15,14,16,0,57,0.0,1017,13,10,293,12
2018-01-19 12:00:00,24,11,0.0,8.7,5,6,13,08:33 AM,07:48 PM,07:11 AM,05:44 PM,6,25,25,25,19,0,30,0.0,1015,24,10,292,17
2018-01-19 18:00:00,24,11,0.0,8.7,5,5,13,08:33 AM,07:48 PM,07:11 AM,05:44 PM,6,16,16,16,28,0,52,0.0,1016,15,10,298,13
2018-01-20 00:00:00,22,9,0.0,8.7,4,1,20,09:11 AM,08:41 PM,07:11 AM,05:45 PM,3,11,13,11,23,0,50,0.0,1016,10,10,302,13
2018-01-20 06:00:00,22,9,0.0,8.7,4,4,20,09:11 AM,08:41 PM,07:11 AM,05:45 PM,2,11,12,11,20,0,51,0.0,1016,11,10,294,13
2018-01-20 12:00:00,22,9,0.0,8.7,4,6,20,09:11 AM,08:41 PM,07:11 AM,05:45 PM,3,23,23,23,18,0,28,0.0,1013,22,10,289,15
2018-01-20 18:00:00,22,9,0.0,8.7,4,4,20,09:11 AM,08:41 PM,07:11 AM,05:45 PM,5,15,15,15,21,0,48,0.0,1015,13,10,301,10
2018-01-21 00:00:00,22,8,0.0,8.7,4,1,28,09:48 AM,09:37 PM,07:11 AM,05:46 PM,3,13,14,13,12,0,48,0.0,1015,10,10,292,8
2018-01-21 06:00:00,22,8,0.0,8.7,4,4,28,09:48 AM,09:37 PM,07:11 AM,05:46 PM,3,15,15,15,6,0,46,0.0,1016,10,10,286,5
2018-01-21 12:00:00,22,8,0.0,8.7,4,6,28,09:48 AM,09:37 PM,07:11 AM,05:46 PM,3,25,24,25,8,0,23,0.0,1014,22,10,274,7
2018-01-21 18:00:00,22,8,0.0,8.7,4,4,28,09:48 AM,09:37 PM,07:11 AM,05:46 PM,4,17,17,17,7,0,41,0.0,1015,13,10,308,4
2018-01-22 00:00:00,23,9,0.0,8.7,4,1,35,10:22 AM,10:32 PM,07:11 AM,05:47 PM,5,16,16,16,4,0,49,0.0,1014,10,10,344,3
2018-01-22 06:00:00,23,9,0.0,8.7,4,4,35,10:22 AM,10:32 PM,07:11 AM,05:47 PM,6,16,16,16,6,0,51,0.0,1015,11,10,311,5
2018-01-22 12:00:00,23,9,0.0,8.7,4,6,35,10:22 AM,10:32 PM,07:11 AM,05:47 PM,3,24,24,25,11,0,24,0.0,1012,23,10,278,10
2018-01-22 18:00:00,23,9,0.0,8.7,4,4,35,10:22 AM,10:32 PM,07:11 AM,05:47 PM,4,18,18,18,7,0,41,0.0,1013,14,10,36,4
2018-01-23 00:00:00,19,10,0.0,8.7,4,1,42,10:58 AM,11:29 PM,07:10 AM,05:48 PM,6,16,16,16,8,0,53,0.0,1013,11,10,99,6
2018-01-23 06:00:00,19,10,0.0,8.7,4,4,42,10:58 AM,11:29 PM,07:10 AM,05:48 PM,5,13,14,13,19,3,53,0.0,1013,13,10,108,11
2018-01-23 12:00:00,19,10,0.0,8.7,4,4,42,10:58 AM,11:29 PM,07:10 AM,05:48 PM,8,19,19,19,18,23,47,0.3,1010,19,9,268,15
2018-01-23 18:00:00,19,10,0.0,8.7,4,3,42,10:58 AM,11:29 PM,07:10 AM,05:48 PM,11,12,12,12,14,82,93,0.0,1012,12,10,60,9
2018-01-24 00:00:00,20,10,0.0,8.7,4,1,49,11:35 AM,No moonset,07:10 AM,05:49 PM,10,12,12,12,4,11,93,0.0,1014,10,10,78,3
2018-01-24 06:00:00,20,10,0.0,8.7,4,4,49,11:35 AM,No moonset,07:10 AM,05:49 PM,11,14,14,14,7,5,87,0.0,1015,12,10,289,6
2018-01-24 12:00:00,20,10,0.0,8.7,4,5,49,11:35 AM,No moonset,07:10 AM,05:49 PM,11,23,25,23,10,0,48,0.0,1013,20,10,275,8
2018-01-24 18:00:00,20,10,0.0,8.7,4,4,49,11:35 AM,No moonset,07:10 AM,05:49 PM,10,14,15,14,19,0,73,0.0,1015,13,10,302,11
2018-01-25 00:00:00,20,9,0.0,8.7,4,1,57,12:13 PM,12:27 AM,07:09 AM,05:50 PM,11,11,12,11,18,0,90,0.0,1013,10,10,300,12
2018-01-25 06:00:00,20,9,0.0,8.7,4,4,57,12:13 PM,12:27 AM,07:09 AM,05:50 PM,8,10,12,10,21,0,81,0.0,1013,11,10,294,15
2018-01-25 12:00:00,20,9,0.0,8.7,4,5,57,12:13 PM,12:27 AM,07:09 AM,05:50 PM,7,20,20,20,20,0,42,0.0,1012,20,10,289,17
2018-01-25 18:00:00,20,9,0.0,8.7,4,4,57,12:13 PM,12:27 AM,07:09 AM,05:50 PM,7,13,14,13,23,0,65,0.0,1014,12,10,291,12
2018-01-26 00:00:00,20,8,0.0,8.7,4,1,64,12:56 PM,01:28 AM,07:09 AM,05:50 PM,7,11,12,11,16,0,69,0.0,1014,9,10,308,10
2018-01-26 06:00:00,20,8,0.0,8.7,4,4,64,12:56 PM,01:28 AM,07:09 AM,05:50 PM,6,13,13,13,11,0,61,0.0,1015,10,10,295,9
2018-01-26 12:00:00,20,8,0.0,8.7,4,6,64,12:56 PM,01:28 AM,07:09 AM,05:50 PM,5,21,21,21,18,0,34,0.0,1014,20,10,294,15
2018-01-26 18:00:00,20,8,0.0,8.7,4,4,64,12:56 PM,01:28 AM,07:09 AM,05:50 PM,5,14,14,14,18,0,54,0.0,1015,12,10,317,10
2018-01-27 00:00:00,20,7,0.0,8.7,4,1,71,01:43 PM,02:31 AM,07:09 AM,05:51 PM,4,10,11,10,16,0,63,0.0,1015,8,10,312,10
2018-01-27 06:00:00,20,7,0.0,8.7,4,3,71,01:43 PM,02:31 AM,07:09 AM,05:51 PM,4,11,12,11,13,0,57,0.0,1015,9,10,285,10
2018-01-27 12:00:00,20,7,0.0,8.7,4,6,71,01:43 PM,02:31 AM,07:09 AM,05:51 PM,1,22,23,22,17,0,26,0.0,1013,20,10,296,14
2018-01-27 18:00:00,20,7,0.0,8.7,4,4,71,01:43 PM,02:31 AM,07:09 AM,05:51 PM,1,13,13,13,18,6,45,0.0,1014,12,10,309,9
2018-01-28 00:00:00,21,8,0.0,8.7,4,1,78,02:37 PM,03:37 AM,07:08 AM,05:52 PM,5,11,12,11,13,0,60,0.0,1014,9,10,314,9
2018-01-28 06:00:00,21,8,0.0,8.7,4,3,78,02:37 PM,03:37 AM,07:08 AM,05:52 PM,5,11,12,11,15,0,59,0.0,1015,10,10,277,11
2018-01-28 12:00:00,21,8,0.0,8.7,4,6,78,02:37 PM,03:37 AM,07:08 AM,05:52 PM,3,22,23,22,18,0,29,0.0,1014,21,10,295,15
2018-01-28 18:00:00,21,8,0.0,8.7,4,4,78,02:37 PM,03:37 AM,07:08 AM,05:52 PM,6,14,15,14,23,0,54,0.0,1015,13,10,315,11
2018-01-29 00:00:00,23,9,0.0,8.7,4,1,86,03:37 PM,04:41 AM,07:08 AM,05:53 PM,5,12,13,12,17,2,58,0.0,1015,10,10,287,10
2018-01-29 06:00:00,23,9,0.0,8.7,4,4,86,03:37 PM,04:41 AM,07:08 AM,05:53 PM,4,13,13,13,15,0,53,0.0,1016,11,10,297,11
2018-01-29 12:00:00,23,9,0.0,8.7,4,6,86,03:37 PM,04:41 AM,07:08 AM,05:53 PM,4,24,24,23,19,0,29,0.0,1015,23,10,287,16
2018-01-29 18:00:00,23,9,0.0,8.7,4,4,86,03:37 PM,04:41 AM,07:08 AM,05:53 PM,6,15,15,15,29,0,52,0.0,1016,14,10,305,14
2018-01-30 00:00:00,26,12,0.0,8.7,5,1,93,04:41 PM,05:44 AM,07:07 AM,05:54 PM,3,12,13,12,33,0,50,0.0,1015,12,10,300,15
2018-01-30 06:00:00,26,12,0.0,8.7,5,4,93,04:41 PM,05:44 AM,07:07 AM,05:54 PM,1,13,14,13,36,0,41,0.0,1015,14,10,286,17
2018-01-30 12:00:00,26,12,0.0,8.7,5,7,93,04:41 PM,05:44 AM,07:07 AM,05:54 PM,6,25,25,26,31,0,28,0.0,1013,26,10,287,27
2018-01-30 18:00:00,26,12,0.0,8.7,5,5,93,04:41 PM,05:44 AM,07:07 AM,05:54 PM,6,19,19,19,39,11,44,0.0,1013,19,10,300,18
2018-01-31 00:00:00,25,13,0.0,5.5,5,1,97,05:48 PM,06:42 AM,07:07 AM,05:55 PM,2,12,14,12,38,8,45,0.0,1012,14,10,297,18
2018-01-31 06:00:00,25,13,0.0,5.5,5,4,97,05:48 PM,06:42 AM,07:07 AM,05:55 PM,5,13,14,13,38,11,52,0.0,1013,14,10,294,22
2018-01-31 12:00:00,25,13,0.0,5.5,5,5,97,05:48 PM,06:42 AM,07:07 AM,05:55 PM,7,25,25,25,29,84,32,0.0,1012,25,10,299,26
2018-01-31 18:00:00,25,13,0.0,5.5,5,5,97,05:48 PM,06:42 AM,07:07 AM,05:55 PM,7,16,16,16,25,58,53,0.0,1014,16,10,291,12
2018-02-01 00:00:00,28,13,0.0,8.7,5,1,88,06:56 PM,07:35 AM,07:06 AM,05:55 PM,5,13,14,13,26,5,57,0.0,1014,13,10,306,12
2018-02-01 06:00:00,28,13,0.0,8.7,5,4,88,06:56 PM,07:35 AM,07:06 AM,05:55 PM,7,17,17,17,10,3,50,0.0,1016,15,10,309,7
2018-02-01 12:00:00,28,13,0.0,8.7,5,7,88,06:56 PM,07:35 AM,07:06 AM,05:55 PM,7,26,26,28,24,0,26,0.0,1013,28,10,290,21
2018-02-01 18:00:00,28,13,0.0,8.7,5,5,88,06:56 PM,07:35 AM,07:06 AM,05:55 PM,8,19,19,19,29,1,50,0.0,1013,18,10,299,14
2018-02-02 00:00:00,27,14,0.0,7.1,5,1,81,08:02 PM,08:22 AM,07:06 AM,05:56 PM,7,16,16,16,27,0,55,0.0,1012,14,10,322,13
2018-02-02 06:00:00,27,14,0.0,7.1,5,5,81,08:02 PM,08:22 AM,07:06 AM,05:56 PM,8,18,18,18,20,2,50,0.0,1013,16,10,305,12
2018-02-02 12:00:00,27,14,0.0,7.1,5,7,81,08:02 PM,08:22 AM,07:06 AM,05:56 PM,7,26,26,27,19,41,28,0.0,1011,27,10,286,17
2018-02-02 18:00:00,27,14,0.0,7.1,5,4,81,08:02 PM,08:22 AM,07:06 AM,05:56 PM,7,18,18,18,21,100,49,0.0,1013,18,10,307,10
2018-02-03 00:00:00,25,13,0.0,8.7,5,1,73,09:05 PM,09:05 AM,07:05 AM,05:57 PM,6,16,16,16,13,60,53,0.0,1014,15,10,338,6
2018-02-03 06:00:00,25,13,0.0,8.7,5,5,73,09:05 PM,09:05 AM,07:05 AM,05:57 PM,9,20,20,20,8,0,52,0.0,1016,16,10,300,7
2018-02-03 12:00:00,25,13,0.0,8.7,5,6,73,09:05 PM,09:05 AM,07:05 AM,05:57 PM,8,26,26,27,14,0,30,0.0,1014,25,10,287,12
2018-02-03 18:00:00,25,13,0.0,8.7,5,5,73,09:05 PM,09:05 AM,07:05 AM,05:57 PM,5,17,17,17,25,0,46,0.0,1016,16,10,308,12
2018-02-04 00:00:00,24,11,0.0,8.7,5,1,66,10:05 PM,09:44 AM,07:04 AM,05:58 PM,5,13,14,13,21,0,56,0.0,1016,11,10,309,12
2018-02-04 06:00:00,24,11,0.0,8.7,5,4,66,10:05 PM,09:44 AM,07:04 AM,05:58 PM,6,13,14,13,19,7,58,0.0,1016,13,10,302,12
2018-02-04 12:00:00,24,11,0.0,8.7,5,6,66,10:05 PM,09:44 AM,07:04 AM,05:58 PM,7,25,25,25,19,4,32,0.0,1014,24,10,286,16
2018-02-04 18:00:00,24,11,0.0,8.7,5,5,66,10:05 PM,09:44 AM,07:04 AM,05:58 PM,7,16,16,16,24,8,54,0.0,1015,15,10,300,12
2018-02-05 00:00:00,24,11,0.0,8.7,5,1,58,11:03 PM,10:21 AM,07:04 AM,05:59 PM,3,12,13,12,23,6,53,0.0,1017,12,10,302,11
2018-02-05 06:00:00,24,11,0.0,8.7,5,4,58,11:03 PM,10:21 AM,07:04 AM,05:59 PM,3,14,14,14,17,3,46,0.0,1019,13,10,307,10
2018-02-05 12:00:00,24,11,0.0,8.7,5,6,58,11:03 PM,10:21 AM,07:04 AM,05:59 PM,3,24,24,24,15,7,25,0.0,1017,24,10,295,13
2018-02-05 18:00:00,24,11,0.0,8.7,5,5,58,11:03 PM,10:21 AM,07:04 AM,05:59 PM,2,16,16,16,25,59,40,0.0,1019,16,10,298,12
2018-02-06 00:00:00,25,13,0.0,8.7,4,1,51,11:59 PM,10:57 AM,07:03 AM,05:59 PM,1,16,16,16,20,100,35,0.0,1019,16,10,304,10
2018-02-06 06:00:00,25,13,0.0,8.7,4,5,51,11:59 PM,10:57 AM,07:03 AM,05:59 PM,2,17,17,17,23,10,37,0.0,1020,16,10,305,13
2018-02-06 12:00:00,25,13,0.0,8.7,4,6,51,11:59 PM,10:57 AM,07:03 AM,05:59 PM,4,24,24,25,20,6,26,0.0,1016,25,10,294,17
2018-02-06 18:00:00,25,13,0.0,8.7,4,5,51,11:59 PM,10:57 AM,07:03 AM,05:59 PM,2,17,17,17,33,48,37,0.0,1017,16,10,301,16
2018-02-07 00:00:00,24,10,0.0,11.0,5,1,43,No moonrise,11:34 AM,07:02 AM,06:00 PM,1,12,13,12,22,1,43,0.0,1016,11,10,299,13
2018-02-07 06:00:00,24,10,0.0,11.0,5,4,43,No moonrise,11:34 AM,07:02 AM,06:00 PM,1,11,13,11,31,0,46,0.0,1016,12,10,307,17
2018-02-07 12:00:00,24,10,0.0,11.0,5,6,43,No moonrise,11:34 AM,07:02 AM,06:00 PM,3,24,24,24,24,0,26,0.0,1012,24,10,286,21
2018-02-07 18:00:00,24,10,0.0,11.0,5,4,43,No moonrise,11:34 AM,07:02 AM,06:00 PM,2,14,15,14,23,6,41,0.0,1014,14,10,291,11
2018-02-08 00:00:00,23,9,0.0,8.5,5,1,36,12:54 AM,12:11 PM,07:02 AM,06:01 PM,2,14,14,14,14,0,45,0.0,1015,10,10,325,8
2018-02-08 06:00:00,23,9,0.0,8.5,5,4,36,12:54 AM,12:11 PM,07:02 AM,06:01 PM,5,14,15,14,12,0,50,0.0,1015,12,10,319,10
2018-02-08 12:00:00,23,9,0.0,8.5,5,6,36,12:54 AM,12:11 PM,07:02 AM,06:01 PM,1,23,23,24,17,22,22,0.0,1012,23,10,292,15
2018-02-08 18:00:00,23,9,0.0,8.5,5,4,36,12:54 AM,12:11 PM,07:02 AM,06:01 PM,1,16,16,16,24,90,37,0.0,1013,16,10,303,12
2018-02-09 00:00:00,24,10,0.0,11.0,5,1,28,01:47 AM,12:51 PM,07:01 AM,06:02 PM,2,14,14,14,16,0,43,0.0,1014,11,10,309,9
