date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-01-01 00:00:00,20,10,0.0,8.7,4,1,97,04:58 PM,06:04 AM,07:17 AM,05:32 PM,3,16,16,16,3,0,42,0.0,1016,11,10,4,3
2018-01-01 06:00:00,20,10,0.0,8.7,4,4,97,04:58 PM,06:04 AM,07:17 AM,05:32 PM,4,16,16,16,2,0,45,0.0,1017,11,10,100,1
2018-01-01 12:00:00,20,10,0.0,8.7,4,5,97,04:58 PM,06:04 AM,07:17 AM,05:32 PM,5,24,24,24,3,0,29,0.0,1014,20,10,232,3
2018-01-01 18:00:00,20,10,0.0,8.7,4,4,97,04:58 PM,06:04 AM,07:17 AM,05:32 PM,4,16,16,16,6,0,44,0.0,1016,12,10,35,4
2018-01-02 00:00:00,19,9,0.0,8.7,4,1,100,06:02 PM,07:10 AM,07:17 AM,05:33 PM,2,15,15,15,4,0,43,0.0,1017,9,10,45,4
2018-01-02 06:00:00,19,9,0.0,8.7,4,4,100,06:02 PM,07:10 AM,07:17 AM,05:33 PM,3,16,15,16,4,0,45,0.0,1017,10,10,311,3
2018-01-02 12:00:00,19,9,0.0,8.7,4,5,100,06:02 PM,07:10 AM,07:17 AM,05:33 PM,3,22,23,22,10,0,28,0.0,1015,19,10,281,8
2018-01-02 18:00:00,19,9,0.0,8.7,4,4,100,06:02 PM,07:10 AM,07:17 AM,05:33 PM,4,15,14,15,6,3,51,0.0,1018,12,10,333,3
2018-01-03 00:00:00,20,9,0.0,8.7,4,1,89,07:09 PM,08:11 AM,07:18 AM,05:34 PM,5,15,14,15,4,1,52,0.0,1017,9,10,332,4
2018-01-03 06:00:00,20,9,0.0,8.7,4,3,89,07:09 PM,08:11 AM,07:18 AM,05:34 PM,3,14,14,14,7,0,49,0.0,1017,10,10,296,6
2018-01-03 12:00:00,20,9,0.0,8.7,4,5,89,07:09 PM,08:11 AM,07:18 AM,05:34 PM,3,21,23,21,15,0,31,0.0,1015,20,10,293,13
2018-01-03 18:00:00,20,9,0.0,8.7,4,4,89,07:09 PM,08:11 AM,07:18 AM,05:34 PM,4,14,14,14,13,0,52,0.0,1017,12,10,302,8
2018-01-04 00:00:00,19,8,0.0,8.7,4,1,81,08:16 PM,09:06 AM,07:18 AM,05:34 PM,4,13,13,13,7,0,52,0.0,1017,9,10,317,6
2018-01-04 06:00:00,19,8,0.0,8.7,4,3,81,08:16 PM,09:06 AM,07:18 AM,05:34 PM,4,15,14,15,5,0,50,0.0,1017,10,10,304,4
2018-01-04 12:00:00,19,8,0.0,8.7,4,5,81,08:16 PM,09:06 AM,07:18 AM,05:34 PM,2,22,23,22,9,0,27,0.0,1015,19,10,279,8
2018-01-04 18:00:00,19,8,0.0,8.7,4,4,81,08:16 PM,09:06 AM,07:18 AM,05:34 PM,1,13,13,13,8,7,44,0.0,1017,12,10,333,4
2018-01-05 00:00:00,19,8,0.0,8.7,4,1,74,09:22 PM,09:54 AM,07:18 AM,05:35 PM,2,15,15,15,5,0,43,0.0,1018,10,10,98,5
2018-01-05 06:00:00,19,8,0.0,8.7,4,3,74,09:22 PM,09:54 AM,07:18 AM,05:35 PM,4,14,14,14,2,0,49,0.0,1018,10,10,57,1
2018-01-05 12:00:00,19,8,0.0,8.7,4,5,74,09:22 PM,09:54 AM,07:18 AM,05:35 PM,1,21,21,21,9,2,27,0.0,1015,19,10,276,8
2018-01-05 18:00:00,19,8,0.0,8.7,4,4,74,09:22 PM,09:54 AM,07:18 AM,05:35 PM,2,15,14,15,10,0,44,0.0,1017,11,10,320,6
2018-01-06 00:00:00,19,8,0.0,8.7,4,1,67,10:25 PM,10:37 AM,07:18 AM,05:36 PM,3,13,13,13,7,0,50,0.0,1017,9,10,320,6
2018-01-06 06:00:00,19,8,0.0,8.7,4,3,67,10:25 PM,10:37 AM,07:18 AM,05:36 PM,4,15,14,15,4,0,51,0.0,1016,9,10,304,4
2018-01-06 12:00:00,19,8,0.0,8.7,4,5,67,10:25 PM,10:37 AM,07:18 AM,05:36 PM,2,20,20,20,16,0,30,0.0,1013,19,10,288,14
2018-01-06 18:00:00,19,8,0.0,8.7,4,4,67,10:25 PM,10:37 AM,07:18 AM,05:36 PM,4,13,14,13,13,0,53,0.0,1017,11,10,314,7
2018-01-07 00:00:00,19,8,0.0,8.7,4,1,59,11:25 PM,11:16 AM,07:18 AM,05:37 PM,4,12,12,12,8,0,57,0.0,1017,8,10,314,6
2018-01-07 06:00:00,19,8,0.0,8.7,4,3,59,11:25 PM,11:16 AM,07:18 AM,05:37 PM,2,10,11,10,14,0,53,0.0,1016,9,10,296,10
2018-01-07 12:00:00,19,8,0.0,8.7,4,5,59,11:25 PM,11:16 AM,07:18 AM,05:37 PM,2,20,20,20,19,0,30,0.0,1014,19,10,288,16
2018-01-07 18:00:00,19,8,0.0,8.7,4,4,59,11:25 PM,11:16 AM,07:18 AM,05:37 PM,3,13,13,13,18,0,50,0.0,1017,11,10,298,9
2018-01-08 00:00:00,19,7,0.0,8.7,4,1,52,No moonrise,11:53 AM,07:18 AM,05:37 PM,4,12,12,12,8,0,56,0.0,1016,8,10,293,6
2018-01-08 06:00:00,19,7,0.0,8.7,4,3,52,No moonrise,11:53 AM,07:18 AM,05:37 PM,3,11,11,11,8,0,56,0.0,1018,8,10,292,7
2018-01-08 12:00:00,19,7,0.0,8.7,4,5,52,No moonrise,11:53 AM,07:18 AM,05:37 PM,2,21,21,21,12,0,29,0.0,1016,19,10,289,10
2018-01-08 18:00:00,19,7,0.0,8.7,4,4,52,No moonrise,11:53 AM,07:18 AM,05:37 PM,3,14,14,14,12,0,49,0.0,1020,11,10,300,6
2018-01-09 00:00:00,19,7,0.0,8.7,4,1,45,12:22 AM,12:27 PM,07:18 AM,05:38 PM,3,13,13,13,9,0,50,0.0,1020,8,10,297,6
2018-01-09 06:00:00,19,7,0.0,8.7,4,3,45,12:22 AM,12:27 PM,07:18 AM,05:38 PM,2,12,12,12,8,0,51,0.0,1020,8,10,289,6
2018-01-09 12:00:00,19,7,0.0,8.7,4,5,45,12:22 AM,12:27 PM,07:18 AM,05:38 PM,3,22,23,22,11,0,28,0.0,1018,19,10,288,9
2018-01-09 18:00:00,19,7,0.0,8.7,4,4,45,12:22 AM,12:27 PM,07:18 AM,05:38 PM,4,14,14,14,12,0,49,0.0,1020,12,10,298,6
2018-01-10 00:00:00,21,7,0.0,8.7,4,1,38,01:18 AM,01:02 PM,07:18 AM,05:39 PM,2,11,12,11,14,0,52,0.0,1020,8,10,296,8
2018-01-10 06:00:00,21,7,0.0,8.7,4,3,38,01:18 AM,01:02 PM,07:18 AM,05:39 PM,-1,8,10,8,20,10,48,0.0,1019,9,10,287,9
2018-01-10 12:00:00,21,7,0.0,8.7,4,6,38,01:18 AM,01:02 PM,07:18 AM,05:39 PM,3,21,23,21,15,13,31,0.0,1017,21,10,283,13
2018-01-10 18:00:00,21,7,0.0,8.7,4,4,38,01:18 AM,01:02 PM,07:18 AM,05:39 PM,2,12,13,12,18,8,49,0.0,1019,12,10,297,9
2018-01-11 00:00:00,21,9,0.0,8.7,4,1,30,02:12 AM,01:38 PM,07:18 AM,05:40 PM,2,10,11,10,19,5,54,0.0,1017,10,10,290,9
2018-01-11 06:00:00,21,9,0.0,8.7,4,3,30,02:12 AM,01:38 PM,07:18 AM,05:40 PM,-1,8,10,8,26,9,47,0.0,1018,9,10,290,12
2018-01-11 12:00:00,21,9,0.0,8.7,4,6,30,02:12 AM,01:38 PM,07:18 AM,05:40 PM,3,21,21,21,20,33,31,0.0,1015,21,10,285,17
2018-01-11 18:00:00,21,9,0.0,8.7,4,4,30,02:12 AM,01:38 PM,07:18 AM,05:40 PM,3,14,15,14,21,8,45,0.0,1016,14,10,291,10
2018-01-12 00:00:00,21,11,0.0,5.5,3,1,23,03:06 AM,02:15 PM,07:18 AM,05:41 PM,-0,12,13,12,22,100,41,0.0,1015,13,10,284,10
2018-01-12 06:00:00,21,11,0.0,5.5,3,4,23,03:06 AM,02:15 PM,07:18 AM,05:41 PM,0,11,12,11,20,32,45,0.0,1016,11,10,288,10
2018-01-12 12:00:00,21,11,0.0,5.5,3,5,23,03:06 AM,02:15 PM,07:18 AM,05:41 PM,3,21,23,21,19,84,30,0.0,1015,21,10,287,16
2018-01-12 18:00:00,21,11,0.0,5.5,3,3,23,03:06 AM,02:15 PM,07:18 AM,05:41 PM,2,15,15,15,17,70,42,0.0,1017,15,10,296,8
2018-01-13 00:00:00,21,9,0.0,8.7,4,1,16,03:59 AM,02:55 PM,07:18 AM,05:41 PM,3,15,15,15,7,0,44,0.0,1017,10,10,303,5
2018-01-13 06:00:00,21,9,0.0,8.7,4,4,16,03:59 AM,02:55 PM,07:18 AM,05:41 PM,4,14,14,14,7,0,49,0.0,1018,10,10,310,6
2018-01-13 12:00:00,21,9,0.0,8.7,4,6,16,03:59 AM,02:55 PM,07:18 AM,05:41 PM,3,21,23,21,21,0,30,0.0,1015,21,10,290,18
2018-01-13 18:00:00,21,9,0.0,8.7,4,4,16,03:59 AM,02:55 PM,07:18 AM,05:41 PM,4,14,15,14,17,0,48,0.0,1017,12,10,293,9
2018-01-14 00:00:00,21,8,0.0,8.7,4,1,9,04:51 AM,03:38 PM,07:18 AM,05:42 PM,4,14,14,14,7,0,53,0.0,1017,9,10,289,5
2018-01-14 06:00:00,21,8,0.0,8.7,4,3,9,04:51 AM,03:38 PM,07:18 AM,05:42 PM,5,14,14,14,7,0,56,0.0,1017,10,10,296,6
2018-01-14 12:00:00,21,8,0.0,8.7,4,6,9,04:51 AM,03:38 PM,07:18 AM,05:42 PM,5,22,23,22,16,0,32,0.0,1015,21,10,287,14
2018-01-14 18:00:00,21,8,0.0,8.7,4,4,9,04:51 AM,03:38 PM,07:18 AM,05:42 PM,5,15,15,15,19,0,51,0.0,1018,13,10,299,9
2018-01-15 00:00:00,20,8,0.0,8.7,4,1,1,05:42 AM,04:24 PM,07:18 AM,05:43 PM,6,15,15,15,4,0,57,0.0,1019,9,10,298,4
2018-01-15 06:00:00,20,8,0.0,8.7,4,3,1,05:42 AM,04:24 PM,07:18 AM,05:43 PM,4,12,13,12,10,0,57,0.0,1019,9,10,292,8
2018-01-15 12:00:00,20,8,0.0,8.7,4,5,1,05:42 AM,04:24 PM,07:18 AM,05:43 PM,4,21,21,21,15,0,33,0.0,1016,20,10,286,13
2018-01-15 18:00:00,20,8,0.0,8.7,4,4,1,05:42 AM,04:24 PM,07:18 AM,05:43 PM,5,14,14,14,18,0,53,0.0,1016,12,10,298,9
2018-01-16 00:00:00,20,7,0.0,8.7,4,1,0,06:30 AM,05:13 PM,07:18 AM,05:44 PM,1,11,12,11,18,0,49,0.0,1015,9,10,294,9
2018-01-16 06:00:00,20,7,0.0,8.7,4,3,0,06:30 AM,05:13 PM,07:18 AM,05:44 PM,2,11,12,11,10,0,52,0.0,1016,9,10,283,8
2018-01-16 12:00:00,20,7,0.0,8.7,4,6,0,06:30 AM,05:13 PM,07:18 AM,05:44 PM,6,24,24,24,4,0,31,0.0,1014,20,10,201,4
2018-01-16 18:00:00,20,7,0.0,8.7,4,4,0,06:30 AM,05:13 PM,07:18 AM,05:44 PM,4,15,15,15,16,0,47,0.0,1015,13,10,80,8
2018-01-17 00:00:00,21,10,0.0,8.7,4,1,0,07:16 AM,06:04 PM,07:18 AM,05:45 PM,6,13,14,13,16,0,60,0.0,1016,11,10,94,9
2018-01-17 06:00:00,21,10,0.0,8.7,4,4,0,07:16 AM,06:04 PM,07:18 AM,05:45 PM,5,11,12,11,14,4,63,0.0,1017,11,10,128,8
2018-01-17 12:00:00,21,10,0.0,8.7,4,6,0,07:16 AM,06:04 PM,07:18 AM,05:45 PM,7,24,24,24,10,0,33,0.0,1015,21,10,144,8
2018-01-17 18:00:00,21,10,0.0,8.7,4,4,0,07:16 AM,06:04 PM,07:18 AM,05:45 PM,8,17,17,17,7,0,53,0.0,1017,14,10,70,4
2018-01-18 00:00:00,23,11,0.0,8.7,5,1,6,07:59 AM,06:56 PM,07:17 AM,05:46 PM,6,16,16,16,6,0,51,0.0,1017,11,10,26,4
2018-01-18 06:00:00,23,11,0.0,8.7,5,4,6,07:59 AM,06:56 PM,07:17 AM,05:46 PM,7,17,17,17,6,0,53,0.0,1017,13,10,307,5
2018-01-18 12:00:00,23,11,0.0,8.7,5,6,6,07:59 AM,06:56 PM,07:17 AM,05:46 PM,5,24,24,24,16,0,29,0.0,1015,23,10,291,14
2018-01-18 18:00:00,23,11,0.0,8.7,5,4,6,07:59 AM,06:56 PM,07:17 AM,05:46 PM,6,17,17,17,17,0,50,0.0,1016,14,10,305,8
2018-01-19 00:00:00,23,11,0.0,8.7,4,1,13,08:38 AM,07:50 PM,07:17 AM,05:47 PM,5,16,16,16,13,0,50,0.0,1017,12,10,312,8
2018-01-19 06:00:00,23,11,0.0,8.7,4,4,13,08:38 AM,07:50 PM,07:17 AM,05:47 PM,6,16,16,16,8,0,52,0.0,1018,12,10,294,6
2018-01-19 12:00:00,23,11,0.0,8.7,4,6,13,08:38 AM,07:50 PM,07:17 AM,05:47 PM,6,24,24,23,17,0,33,0.0,1016,23,10,289,15
2018-01-19 18:00:00,23,11,0.0,8.7,4,4,13,08:38 AM,07:50 PM,07:17 AM,05:47 PM,4,15,15,15,21,0,49,0.0,1018,13,10,298,10
2018-01-20 00:00:00,21,9,0.0,8.7,4,1,20,09:16 AM,08:45 PM,07:17 AM,05:47 PM,2,12,13,12,17,0,49,0.0,1017,10,10,297,9
2018-01-20 06:00:00,21,9,0.0,8.7,4,3,20,09:16 AM,08:45 PM,07:17 AM,05:47 PM,3,12,13,12,12,0,52,0.0,1016,10,10,288,8
2018-01-20 12:00:00,21,9,0.0,8.7,4,6,20,09:16 AM,08:45 PM,07:17 AM,05:47 PM,5,23,24,23,13,0,32,0.0,1014,21,10,284,12
2018-01-20 18:00:00,21,9,0.0,8.7,4,4,20,09:16 AM,08:45 PM,07:17 AM,05:47 PM,6,16,16,16,13,0,51,0.0,1015,13,10,296,6
2018-01-21 00:00:00,21,8,0.0,8.7,4,1,28,09:52 AM,09:40 PM,07:17 AM,05:48 PM,4,15,14,15,8,0,51,0.0,1015,10,10,283,5
2018-01-21 06:00:00,21,8,0.0,8.7,4,3,28,09:52 AM,09:40 PM,07:17 AM,05:48 PM,4,14,14,14,3,0,50,0.0,1016,10,10,226,3
2018-01-21 12:00:00,21,8,0.0,8.7,4,6,28,09:52 AM,09:40 PM,07:17 AM,05:48 PM,5,24,24,24,8,0,29,0.0,1014,21,10,274,7
2018-01-21 18:00:00,21,8,0.0,8.7,4,4,28,09:52 AM,09:40 PM,07:17 AM,05:48 PM,5,16,16,16,2,0,49,0.0,1016,12,10,6,1
2018-01-22 00:00:00,21,8,0.0,8.7,4,1,35,10:27 AM,10:36 PM,07:16 AM,05:49 PM,6,15,15,15,3,0,55,0.0,1015,10,10,76,2
2018-01-22 06:00:00,21,8,0.0,8.7,4,4,35,10:27 AM,10:36 PM,07:16 AM,05:49 PM,7,15,15,15,1,0,56,0.0,1015,11,10,335,1
2018-01-22 12:00:00,21,8,0.0,8.7,4,6,35,10:27 AM,10:36 PM,07:16 AM,05:49 PM,5,24,24,24,8,0,29,0.0,1013,21,10,260,7
2018-01-22 18:00:00,21,8,0.0,8.7,4,4,35,10:27 AM,10:36 PM,07:16 AM,05:49 PM,5,16,16,16,8,0,47,0.0,1014,13,10,59,4
2018-01-23 00:00:00,16,10,0.0,7.1,4,1,42,11:02 AM,11:33 PM,07:16 AM,05:50 PM,6,14,14,14,14,0,57,0.0,1014,11,10,101,8
2018-01-23 06:00:00,16,10,0.0,7.1,4,4,42,11:02 AM,11:33 PM,07:16 AM,05:50 PM,4,12,13,12,23,6,54,0.0,1013,13,10,98,12
2018-01-23 12:00:00,16,10,0.0,7.1,4,3,42,11:02 AM,11:33 PM,07:16 AM,05:50 PM,11,12,13,12,11,64,87,6.6,1011,12,8,352,8
2018-01-23 18:00:00,16,10,0.0,7.1,4,3,42,11:02 AM,11:33 PM,07:16 AM,05:50 PM,9,9,11,9,23,61,89,1.5,1013,11,10,74,14
2018-01-24 00:00:00,19,9,0.0,8.7,3,1,49,11:38 AM,No moonset,07:16 AM,05:51 PM,9,10,10,10,7,40,91,0.9,1014,9,10,81,4
2018-01-24 06:00:00,19,9,0.0,8.7,3,4,49,11:38 AM,No moonset,07:16 AM,05:51 PM,10,12,12,12,7,8,83,0.0,1016,11,10,342,5
2018-01-24 12:00:00,19,9,0.0,8.7,3,5,49,11:38 AM,No moonset,07:16 AM,05:51 PM,10,21,21,21,13,0,51,0.0,1014,19,10,293,12
2018-01-24 18:00:00,19,9,0.0,8.7,3,4,49,11:38 AM,No moonset,07:16 AM,05:51 PM,11,13,14,13,16,0,82,0.0,1017,12,10,301,9
2018-01-25 00:00:00,18,8,0.0,8.7,4,1,57,12:16 PM,12:32 AM,07:15 AM,05:52 PM,10,12,12,12,12,0,88,0.0,1015,9,10,295,9
2018-01-25 06:00:00,18,8,0.0,8.7,4,3,57,12:16 PM,12:32 AM,07:15 AM,05:52 PM,7,10,11,10,14,0,77,0.0,1014,9,10,294,11
2018-01-25 12:00:00,18,8,0.0,8.7,4,5,57,12:16 PM,12:32 AM,07:15 AM,05:52 PM,6,19,19,19,17,0,44,0.0,1012,18,10,291,15
2018-01-25 18:00:00,18,8,0.0,8.7,4,4,57,12:16 PM,12:32 AM,07:15 AM,05:52 PM,7,13,13,13,15,0,67,0.0,1015,11,10,286,8
2018-01-26 00:00:00,19,8,0.0,8.7,4,1,64,12:58 PM,01:34 AM,07:15 AM,05:53 PM,7,14,13,14,6,0,66,0.0,1016,9,10,313,5
2018-01-26 06:00:00,19,8,0.0,8.7,4,3,64,12:58 PM,01:34 AM,07:15 AM,05:53 PM,6,14,14,14,7,0,61,0.0,1016,10,10,296,6
2018-01-26 12:00:00,19,8,0.0,8.7,4,5,64,12:58 PM,01:34 AM,07:15 AM,05:53 PM,5,20,20,20,16,0,39,0.0,1015,19,10,292,14
2018-01-26 18:00:00,19,8,0.0,8.7,4,4,64,12:58 PM,01:34 AM,07:15 AM,05:53 PM,5,13,13,13,13,0,57,0.0,1017,10,10,312,7
2018-01-27 00:00:00,20,7,0.0,8.7,4,1,71,01:46 PM,02:37 AM,07:14 AM,05:53 PM,4,12,12,12,9,0,58,0.0,1016,8,10,322,6
2018-01-27 06:00:00,20,7,0.0,8.7,4,3,71,01:46 PM,02:37 AM,07:14 AM,05:53 PM,3,12,12,12,9,0,53,0.0,1016,9,10,286,7
2018-01-27 12:00:00,20,7,0.0,8.7,4,5,71,01:46 PM,02:37 AM,07:14 AM,05:53 PM,2,20,20,20,19,0,30,0.0,1014,20,10,295,17
2018-01-27 18:00:00,20,7,0.0,8.7,4,4,71,01:46 PM,02:37 AM,07:14 AM,05:53 PM,5,13,13,13,13,2,59,0.0,1017,11,10,297,6
2018-01-28 00:00:00,20,8,0.0,8.7,4,1,78,02:39 PM,03:42 AM,07:14 AM,05:54 PM,6,13,13,13,6,0,64,0.0,1016,8,10,340,5
2018-01-28 06:00:00,20,8,0.0,8.7,4,3,78,02:39 PM,03:42 AM,07:14 AM,05:54 PM,3,12,13,12,9,0,52,0.0,1016,9,10,277,7
2018-01-28 12:00:00,20,8,0.0,8.7,4,6,78,02:39 PM,03:42 AM,07:14 AM,05:54 PM,4,22,23,22,14,0,32,0.0,1015,20,10,285,12
2018-01-28 18:00:00,20,8,0.0,8.7,4,4,78,02:39 PM,03:42 AM,07:14 AM,05:54 PM,6,14,14,14,18,1,57,0.0,1017,12,10,315,9
2018-01-29 00:00:00,21,8,0.0,8.7,4,1,86,03:39 PM,04:47 AM,07:13 AM,05:55 PM,2,12,12,12,11,2,48,0.0,1017,9,10,277,6
2018-01-29 06:00:00,21,8,0.0,8.7,4,4,86,03:39 PM,04:47 AM,07:13 AM,05:55 PM,2,11,12,11,11,5,50,0.0,1017,10,10,302,6
2018-01-29 12:00:00,21,8,0.0,8.7,4,6,86,03:39 PM,04:47 AM,07:13 AM,05:55 PM,5,22,23,22,15,5,32,0.0,1016,21,10,283,13
2018-01-29 18:00:00,21,8,0.0,8.7,4,4,86,03:39 PM,04:47 AM,07:13 AM,05:55 PM,4,13,14,13,20,17,54,0.0,1018,13,10,314,9
2018-01-30 00:00:00,25,12,0.0,8.7,5,1,93,04:43 PM,05:50 AM,07:13 AM,05:56 PM,1,12,13,12,23,2,43,0.0,1018,12,10,313,11
2018-01-30 06:00:00,25,12,0.0,8.7,5,4,93,04:43 PM,05:50 AM,07:13 AM,05:56 PM,0,13,14,13,21,15,40,0.0,1017,13,10,289,10
2018-01-30 12:00:00,25,12,0.0,8.7,5,6,93,04:43 PM,05:50 AM,07:13 AM,05:56 PM,8,25,25,25,30,12,34,0.0,1015,25,10,286,26
2018-01-30 18:00:00,25,12,0.0,8.7,5,5,93,04:43 PM,05:50 AM,07:13 AM,05:56 PM,7,17,17,17,33,1,50,0.0,1016,17,10,299,16
2018-01-31 00:00:00,23,12,0.0,5.5,5,1,97,05:51 PM,06:48 AM,07:12 AM,05:57 PM,3,12,13,12,28,26,51,0.0,1014,13,10,300,13
2018-01-31 06:00:00,23,12,0.0,5.5,5,4,97,05:51 PM,06:48 AM,07:12 AM,05:57 PM,4,12,13,12,33,60,53,0.0,1015,13,10,298,17
2018-01-31 12:00:00,23,12,0.0,5.5,5,5,97,05:51 PM,06:48 AM,07:12 AM,05:57 PM,8,24,24,23,29,77,37,0.0,1013,23,10,294,25
2018-01-31 18:00:00,23,12,0.0,5.5,5,4,97,05:51 PM,06:48 AM,07:12 AM,05:57 PM,7,15,15,15,25,70,57,0.0,1015,15,10,293,12
2018-02-01 00:00:00,25,13,0.0,8.7,5,1,88,06:59 PM,07:40 AM,07:12 AM,05:58 PM,6,15,15,15,16,2,55,0.0,1016,13,10,302,9
2018-02-01 06:00:00,25,13,0.0,8.7,5,4,88,06:59 PM,07:40 AM,07:12 AM,05:58 PM,4,16,16,16,20,13,45,0.0,1017,15,10,300,9
2018-02-01 12:00:00,25,13,0.0,8.7,5,7,88,06:59 PM,07:40 AM,07:12 AM,05:58 PM,8,25,25,25,20,3,33,0.0,1014,25,10,280,18
2018-02-01 18:00:00,25,13,0.0,8.7,5,5,88,06:59 PM,07:40 AM,07:12 AM,05:58 PM,9,18,18,18,21,2,53,0.0,1015,16,10,312,10
2018-02-02 00:00:00,25,13,0.0,7.1,5,1,81,08:05 PM,08:27 AM,07:11 AM,05:59 PM,6,15,15,15,16,4,54,0.0,1014,13,10,329,8
2018-02-02 06:00:00,25,13,0.0,7.1,5,4,81,08:05 PM,08:27 AM,07:11 AM,05:59 PM,6,17,17,17,10,3,47,0.0,1014,15,10,333,6
2018-02-02 12:00:00,25,13,0.0,7.1,5,6,81,08:05 PM,08:27 AM,07:11 AM,05:59 PM,7,25,25,25,17,18,32,0.0,1012,25,10,286,15
2018-02-02 18:00:00,25,13,0.0,7.1,5,4,81,08:05 PM,08:27 AM,07:11 AM,05:59 PM,7,16,16,16,17,91,55,0.0,1015,16,10,316,8
2018-02-03 00:00:00,23,12,0.0,8.7,5,1,73,09:08 PM,09:09 AM,07:10 AM,05:59 PM,9,17,17,17,7,0,58,0.0,1016,12,10,5,5
2018-02-03 06:00:00,23,12,0.0,8.7,5,4,73,09:08 PM,09:09 AM,07:10 AM,05:59 PM,8,18,18,18,6,0,53,0.0,1017,13,10,306,5
2018-02-03 12:00:00,23,12,0.0,8.7,5,6,73,09:08 PM,09:09 AM,07:10 AM,05:59 PM,7,25,25,24,13,0,34,0.0,1015,23,10,283,12
2018-02-03 18:00:00,23,12,0.0,8.7,5,4,73,09:08 PM,09:09 AM,07:10 AM,05:59 PM,7,16,16,16,14,0,54,0.0,1018,14,10,316,7
2018-02-04 00:00:00,22,10,0.0,10.9,4,1,66,10:09 PM,09:48 AM,07:10 AM,06:00 PM,5,14,14,14,13,0,56,0.0,1018,10,10,310,8
2018-02-04 06:00:00,22,10,0.0,10.9,4,4,66,10:09 PM,09:48 AM,07:10 AM,06:00 PM,6,14,15,14,12,1,55,0.0,1018,12,10,313,8
2018-02-04 12:00:00,22,10,0.0,10.9,4,6,66,10:09 PM,09:48 AM,07:10 AM,06:00 PM,6,24,24,23,15,9,35,0.0,1015,22,10,280,13
2018-02-04 18:00:00,22,10,0.0,10.9,4,4,66,10:09 PM,09:48 AM,07:10 AM,06:00 PM,5,15,15,15,15,9,52,0.0,1017,14,10,307,7
2018-02-05 00:00:00,22,11,0.0,10.1,5,1,58,11:07 PM,10:25 AM,07:09 AM,06:01 PM,1,11,12,11,14,20,48,0.0,1017,11,10,295,6
2018-02-05 06:00:00,22,11,0.0,10.1,5,4,58,11:07 PM,10:25 AM,07:09 AM,06:01 PM,2,14,14,14,11,62,44,0.0,1020,13,10,311,6
2018-02-05 12:00:00,22,11,0.0,10.1,5,6,58,11:07 PM,10:25 AM,07:09 AM,06:01 PM,4,22,23,22,10,23,31,0.0,1019,22,10,282,9
2018-02-05 18:00:00,22,11,0.0,10.1,5,4,58,11:07 PM,10:25 AM,07:09 AM,06:01 PM,2,16,16,16,15,83,41,0.0,1020,15,10,293,7
2018-02-06 00:00:00,23,11,0.0,10.9,5,1,51,No moonrise,11:01 AM,07:08 AM,06:02 PM,0,15,15,15,14,50,37,0.0,1020,14,10,304,7
2018-02-06 06:00:00,23,11,0.0,10.9,5,4,51,No moonrise,11:01 AM,07:08 AM,06:02 PM,4,17,17,17,14,2,42,0.0,1021,15,10,304,9
2018-02-06 12:00:00,23,11,0.0,10.9,5,6,51,No moonrise,11:01 AM,07:08 AM,06:02 PM,5,24,24,23,20,0,30,0.0,1017,23,10,294,17
2018-02-06 18:00:00,23,11,0.0,10.9,5,4,51,No moonrise,11:01 AM,07:08 AM,06:02 PM,3,15,15,15,21,0,44,0.0,1019,13,10,303,10
2018-02-07 00:00:00,22,10,0.0,11.0,4,1,43,12:04 AM,11:37 AM,07:08 AM,06:03 PM,1,12,13,12,19,0,44,0.0,1018,10,10,306,10
2018-02-07 06:00:00,22,10,0.0,11.0,4,4,43,12:04 AM,11:37 AM,07:08 AM,06:03 PM,3,13,14,13,17,0,47,0.0,1017,11,10,299,11
2018-02-07 12:00:00,22,10,0.0,11.0,4,6,43,12:04 AM,11:37 AM,07:08 AM,06:03 PM,4,23,23,22,22,0,31,0.0,1014,22,10,290,19
2018-02-07 18:00:00,22,10,0.0,11.0,4,4,43,12:04 AM,11:37 AM,07:08 AM,06:03 PM,2,13,14,13,18,20,46,0.0,1015,13,10,300,9
2018-02-08 00:00:00,22,9,0.0,11.0,4,1,36,12:59 AM,12:14 PM,07:07 AM,06:04 PM,5,15,14,15,6,1,52,0.0,1016,9,10,330,4
2018-02-08 06:00:00,22,9,0.0,11.0,4,4,36,12:59 AM,12:14 PM,07:07 AM,06:04 PM,7,17,17,17,4,0,54,0.0,1016,12,10,320,4
2018-02-08 12:00:00,22,9,0.0,11.0,4,6,36,12:59 AM,12:14 PM,07:07 AM,06:04 PM,3,23,23,23,15,3,27,0.0,1013,22,10,280,13
2018-02-08 18:00:00,22,9,0.0,11.0,4,4,36,12:59 AM,12:14 PM,07:07 AM,06:04 PM,1,14,14,14,17,40,40,0.0,1014,14,10,317,8
2018-02-09 00:00:00,22,9,0.0,11.0,4,1,28,01:53 AM,12:53 PM,07:06 AM,06:04 PM,-1,11,11,11,11,10,44,0.0,1015,10,10,320,5
